,year,date,playtime,playteam_1,playteam_2,score_1,score_2,ground
32,,08.14(화),18:30,현대,SK,4,3,인천
33,,,18:30,삼성,두산,9,7,잠실
34,,,18:30,LG,롯데,0,2,사직
35,,08.15(수),18:30,현대,SK,2,3,인천
36,,,18:30,LG,롯데,4,5,사직
37,,,18:30,KIA,한화,7,6,대전
38,,08.16(목),18:30,삼성,두산,3,4,잠실
39,,,18:30,LG,롯데,9,3,사직
40,,,18:30,KIA,한화,11,2,대전
41,,08.17(금),18:30,한화,삼성,3,8,시민
42,,,18:30,롯데,KIA,7,2,무등
43,,,18:30,두산,SK,2,0,인천
44,,08.18(토),18:30,한화,삼성,3,11,시민
45,,,18:30,롯데,KIA,12,11,무등
46,,,18:30,두산,SK,13,8,인천
47,,,18:30,현대,LG,2,1,잠실
48,,08.19(일),18:30,한화,삼성,6,7,시민
49,,,18:30,롯데,KIA,9,2,무등
50,,,18:30,두산,SK,2,4,인천
51,,,18:30,현대,LG,2,6,잠실
52,,08.21(화),18:30,삼성,KIA,6,2,무등
53,,,18:30,LG,두산,6,5,잠실
54,,,18:30,SK,롯데,6,1,사직
55,,,18:30,한화,현대,8,7,수원
56,,08.22(수),18:30,삼성,KIA,8,3,무등
57,,,18:30,LG,두산,2,10,잠실
58,,,18:30,SK,롯데,6,5,사직
59,,,18:30,한화,현대,4,8,수원
60,,08.23(목),18:30,LG,두산,3,6,잠실
61,,,18:30,SK,롯데,4,5,사직
62,,08.24(금),18:30,KIA,현대,6,1,수원
63,,08.25(토),18:30,삼성,SK,5,4,인천
64,,,18:30,롯데,두산,7,11,잠실
65,,,18:30,KIA,현대,8,10,수원
66,,,18:30,LG,한화,3,4,대전
67,,08.26(일),14:00,LG,한화,6,4,대전
68,,,18:20,삼성,SK,8,9,인천
69,,,18:30,롯데,두산,9,5,잠실
70,,,18:30,KIA,현대,0,4,수원
71,,08.28(화),18:30,롯데,삼성,16,4,시민
72,,,18:30,현대,LG,4,12,잠실
73,,,18:30,SK,한화,5,8,대전
74,,08.29(수),18:30,롯데,삼성,11,3,시민
75,,,18:30,두산,KIA,7,2,무등
76,,,18:30,현대,LG,4,9,잠실
77,,,18:30,SK,한화,2,4,대전
78,,08.30(목),18:30,두산,KIA,7,9,무등
79,,,18:30,SK,한화,4,1,대전
0,2001,09.01(토),14:00,LG,KIA,5,7,무등
1,,,17:00,SK,두산,2,3,잠실
2,,,17:00,한화,롯데,2,5,사직
3,,,17:00,삼성,현대,6,0,수원
4,,09.02(일),14:00,LG,KIA,4,5,무등
5,,,14:00,SK,두산,4,3,잠실
6,,,14:00,한화,롯데,10,4,사직
7,,,14:00,삼성,현대,4,9,수원
8,,09.04(화),18:30,KIA,SK,5,2,인천
9,,,18:30,두산,삼성,6,11,시민
10,,,18:30,롯데,LG,0,1,잠실
11,,,18:30,한화,현대,2,8,수원
12,,09.05(수),18:20,한화,현대,4,1,수원
13,,,18:30,KIA,SK,7,2,인천
14,,,18:30,두산,삼성,4,2,시민
15,,,18:30,롯데,LG,9,1,잠실
16,,09.06(목),18:30,KIA,SK,5,1,인천
17,,,18:30,롯데,LG,1,7,잠실
18,,09.07(금),18:30,두산,KIA,13,2,무등
19,,,18:30,삼성,LG,4,3,잠실
20,,,18:30,현대,롯데,6,7,사직
21,,09.08(토),14:00,삼성,LG,5,3,잠실
22,,,15:00,두산,KIA,9,17,무등
23,,,17:00,현대,롯데,4,9,사직
24,,,17:00,SK,한화,6,9,대전
25,,,18:20,두산,KIA,15,9,무등
26,,,18:20,삼성,LG,2,7,잠실
27,,09.09(일),14:00,두산,KIA,6,7,무등
28,,,14:00,삼성,LG,6,10,잠실
29,,09.10(월),18:30,현대,롯데,8,5,사직
30,,,18:30,SK,한화,4,3,대전
31,,09.11(화),18:20,LG,현대,5,10,수원
32,,,18:30,KIA,삼성,1,10,시민
33,,,18:30,롯데,SK,6,2,인천
34,,,18:30,한화,두산,3,4,잠실
35,,09.12(수),15:00,KIA,삼성,6,11,시민
36,,,18:20,KIA,삼성,3,4,시민
37,,,18:30,롯데,SK,4,8,인천
38,,,18:30,한화,두산,7,0,잠실
39,,,18:30,LG,현대,5,2,수원
40,,09.13(목),18:30,KIA,삼성,9,7,시민
41,,,18:30,롯데,SK,0,5,인천
42,,,18:30,LG,현대,3,3,수원
43,,09.14(금),18:30,두산,LG,1,3,잠실
44,,,18:30,롯데,한화,4,1,대전
45,,09.15(토),14:00,롯데,한화,2,4,대전
46,,,14:00,현대,KIA,9,2,무등
47,,,14:00,SK,삼성,4,12,시민
48,,,14:00,두산,LG,5,2,잠실
49,,,16:50,SK,삼성,7,2,시민
50,,,17:00,현대,KIA,6,3,무등
51,,,17:50,두산,LG,12,5,잠실
52,,09.16(일),14:00,현대,KIA,2,6,무등
53,,,14:00,SK,삼성,4,2,시민
54,,,14:00,두산,LG,2,1,잠실
55,,,14:00,롯데,한화,4,6,대전
56,,09.18(화),18:30,삼성,롯데,3,4,마산
57,,,18:30,SK,LG,5,6,잠실
58,,,18:30,두산,현대,6,3,수원
59,,,18:30,KIA,한화,14,6,대전
60,,09.19(수),15:00,두산,현대,7,15,수원
61,,,18:30,두산,현대,9,7,수원
62,,,18:30,삼성,롯데,2,6,마산
63,,,18:30,SK,LG,6,2,잠실
64,,,18:30,KIA,한화,11,2,대전
65,,09.20(목),18:30,삼성,롯데,10,3,마산
66,,,18:30,SK,LG,4,0,잠실
67,,,18:30,두산,현대,2,3,수원
68,,09.22(토),14:00,LG,KIA,5,3,군산
69,,,17:00,현대,SK,0,4,인천
70,,,17:00,한화,삼성,6,4,시민
71,,,17:00,롯데,두산,8,1,잠실
72,,09.23(일),14:00,현대,SK,3,8,인천
73,,,14:00,한화,삼성,6,2,시민
74,,,14:00,LG,KIA,1,0,군산
75,,,14:00,롯데,두산,4,0,잠실
76,,09.25(화),18:30,한화,SK,2,0,인천
77,,,18:30,KIA,두산,2,0,잠실
78,,,18:30,삼성,롯데,3,1,사직
79,,09.26(수),18:30,한화,SK,2,3,인천
80,,,18:30,LG,삼성,11,4,시민
81,,,18:30,현대,두산,5,10,잠실
82,,09.27(목),18:30,LG,삼성,10,3,시민
83,,,18:30,현대,한화,4,16,대전
84,,09.28(금),18:30,LG,삼성,0,7,시민
85,,,18:30,현대,한화,2,7,대전
86,,09.29(토),17:00,두산,롯데,2,6,사직
87,,,17:00,삼성,한화,3,4,대전
0,2001,10.01(월),14:00,두산,KIA,5,19,무등
1,,10.02(화),14:00,한화,KIA,8,3,무등
2,,,14:00,LG,롯데,5,3,사직
3,,,14:00,SK,현대,5,2,수원
4,,10.03(수),14:00,한화,KIA,4,5,무등
5,,,14:00,삼성,두산,10,8,잠실
6,,,14:00,LG,롯데,3,2,사직
7,,,14:00,SK,현대,4,6,수원
8,,10.04(목),18:30,한화,LG,2,3,잠실
0,2002,04.05(금),14:00,LG,삼성,5,11,시민
1,,,14:00,KIA,두산,4,1,잠실
2,,,14:00,SK,현대,2,3,수원
3,,,14:00,롯데,한화,0,7,대전
4,,04.06(토),17:00,LG,삼성,9,5,시민
5,,04.07(일),14:00,LG,삼성,4,11,시민
6,,,14:00,KIA,두산,1,0,잠실
7,,,14:00,SK,현대,1,5,수원
8,,,14:00,롯데,한화,5,2,대전
9,,,17:00,KIA,두산,4,3,잠실
10,,,17:00,SK,현대,3,2,수원
11,,,17:50,롯데,한화,5,7,대전
12,,04.09(화),18:30,현대,KIA,9,13,무등
13,,,18:30,두산,LG,5,3,잠실
14,,,18:30,삼성,롯데,6,8,사직
15,,,18:40,한화,SK,6,5,문학
16,,04.10(수),18:30,현대,KIA,10,4,무등
17,,,18:30,두산,LG,1,2,잠실
18,,,18:30,한화,SK,6,6,문학
19,,,18:30,삼성,롯데,5,6,사직
20,,04.11(목),18:30,현대,KIA,9,9,무등
21,,,18:30,두산,LG,7,3,잠실
22,,,18:30,한화,SK,6,2,문학
23,,,18:30,삼성,롯데,5,4,사직
24,,04.12(금),18:30,한화,삼성,5,9,시민
25,,,18:30,SK,KIA,7,2,무등
26,,,18:30,두산,롯데,9,3,사직
27,,04.13(토),14:00,현대,LG,2,0,잠실
28,,,17:00,한화,삼성,15,5,시민
29,,,17:00,SK,KIA,4,5,무등
30,,,17:00,두산,롯데,5,6,사직
31,,,17:40,현대,LG,2,1,잠실
32,,04.14(일),14:00,한화,삼성,7,2,시민
33,,,14:00,SK,KIA,0,5,무등
34,,,14:00,현대,LG,1,0,잠실
35,,,14:00,두산,롯데,8,5,사직
36,,04.16(화),18:30,삼성,두산,5,3,잠실
37,,,18:30,LG,SK,2,8,문학
38,,,18:30,롯데,현대,1,14,수원
39,,,18:30,KIA,한화,5,1,대전
40,,04.17(수),18:20,LG,SK,5,2,문학
41,,,18:30,삼성,두산,8,3,잠실
42,,,18:30,롯데,현대,1,6,수원
43,,,18:30,KIA,한화,7,1,대전
44,,04.18(목),18:30,삼성,두산,7,2,잠실
45,,,18:30,LG,SK,9,5,문학
46,,,18:30,롯데,현대,5,5,수원
47,,,18:30,KIA,한화,2,5,대전
48,,04.19(금),18:30,LG,두산,1,3,잠실
49,,,18:30,삼성,SK,4,6,문학
50,,,18:30,KIA,롯데,4,1,사직
51,,,18:30,한화,현대,3,3,수원
52,,04.20(토),17:00,LG,두산,6,4,잠실
53,,,17:00,삼성,SK,6,3,문학
54,,,17:00,KIA,롯데,11,10,사직
55,,,17:00,한화,현대,8,3,수원
56,,04.21(일),14:00,LG,두산,3,6,잠실
57,,,14:00,삼성,SK,3,4,문학
58,,,14:00,KIA,롯데,7,1,사직
