,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,HP,SO,SB,CS,SH,GDP,E,컴프야P,ground
2017년 06월 02일,45,38,13,10,3,0,0,5,4,5,0,4,1,0,2,0,0,185,대전
2017년 06월 02일,42,35,14,12,1,0,1,5,5,4,1,8,3,0,2,0,0,257,대구
2017년 06월 02일,44,39,13,9,3,0,1,8,7,3,2,7,0,1,0,1,0,209,사직
2017년 06월 03일,37,34,7,5,2,0,0,3,3,2,1,7,0,0,0,0,0,8,잠실
2017년 06월 03일,43,37,16,12,3,0,1,8,7,5,1,4,1,1,0,2,0,293,고척
2017년 06월 03일,40,35,10,7,2,0,1,2,2,5,0,5,1,1,0,1,0,115,대전
2017년 06월 03일,47,39,13,4,6,0,3,6,6,4,2,9,1,0,2,1,2,313,대구
2017년 06월 03일,35,34,8,6,2,0,0,1,1,1,0,6,0,0,0,1,1,-22,사직
2017년 06월 04일,38,34,10,8,0,1,1,5,5,2,1,7,0,1,1,1,1,123,잠실
2017년 06월 04일,43,34,10,10,0,0,0,1,1,7,1,7,2,0,1,1,0,63,고척
