,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11,12,13,14,15,16,17
4,우2, ,삼진, ,사구,3직, , , ,3,1,1,2,0.302,이대호,구장 : 사직,"관중 : 30,000",2008.09.02(화),개시 : 18:30,경기시간 : 3:06,롯데,LG,,,,,,,,,
5,우안, ,1땅, ,우중3, ,3비, , ,4,2,2,2,0.272,가르시아,구장 : 사직,"관중 : 30,000",2008.09.02(화),개시 : 18:30,경기시간 : 3:06,롯데,LG,,,,,,,,,
6,좌중안, ,삼진, ,좌홈, ,좌비, , ,4,2,3,1,0.290,강민호,구장 : 사직,"관중 : 30,000",2008.09.02(화),개시 : 18:30,경기시간 : 3:06,롯데,LG,,,,,,,,,
7,4구, , ,좌안,우비, ,삼진, , ,3,1,0,1,0.352,손광민,구장 : 사직,"관중 : 30,000",2008.09.02(화),개시 : 18:30,경기시간 : 3:06,롯데,LG,,,,,,,,,
8,2비, , ,우안,중비, , ,좌안, ,4,2,0,1,0.272,이원석,구장 : 사직,"관중 : 30,000",2008.09.02(화),개시 : 18:30,경기시간 : 3:06,롯데,LG,,,,,,,,,
9, ,중비, ,투희번,중비, , ,32병, ,3,0,0,0,0.258,박기혁,구장 : 사직,"관중 : 30,000",2008.09.02(화),개시 : 18:30,경기시간 : 3:06,롯데,LG,,,,,,,,,
0,중안, ,좌2,중안, ,중비, , ,2땅,5,3,0,1,0.318,이용규,구장 : 시민,"관중 : 3,999",2008.09.03(수),개시 : 18:31,경기시간 : 3:20,KIA,삼성,,,,,,,,,
1,4구, ,유직,3비, , ,유실, ,우안,4,1,0,0,0.303,김원섭,구장 : 시민,"관중 : 3,999",2008.09.03(수),개시 : 18:31,경기시간 : 3:20,KIA,삼성,,,,,,,,,
2,3땅, ,유땅, ,중비, ,투유병, ,중비,5,0,0,0,0.311,장성호,구장 : 시민,"관중 : 3,999",2008.09.03(수),개시 : 18:31,경기시간 : 3:20,KIA,삼성,,,,,,,,,
3,4구, ,1땅, ,1땅, ,좌비, , ,3,0,0,0,0.235,최희섭,구장 : 시민,"관중 : 3,999",2008.09.03(수),개시 : 18:31,경기시간 : 3:20,KIA,삼성,,,,,,,,,
4,우희비, , ,4구,삼진, , ,삼진, ,2,0,1,1,0.279,나지완,구장 : 시민,"관중 : 3,999",2008.09.03(수),개시 : 18:31,경기시간 : 3:20,KIA,삼성,,,,,,,,,
5, , , , , , , , , ,0,0,0,0,0.108,강동우,구장 : 시민,"관중 : 3,999",2008.09.03(수),개시 : 18:31,경기시간 : 3:20,KIA,삼성,,,,,,,,,
6,삼진, , ,좌홈, ,우비, ,우중안, ,4,2,2,1,0.293,김상훈,구장 : 시민,"관중 : 3,999",2008.09.03(수),개시 : 18:31,경기시간 : 3:20,KIA,삼성,,,,,,,,,
7, ,3땅, ,중비, ,좌안, ,우비, ,4,1,0,1,0.262,이현곤,구장 : 시민,"관중 : 3,999",2008.09.03(수),개시 : 18:31,경기시간 : 3:20,KIA,삼성,,,,,,,,,
8, ,유땅, ,4구, , , , , ,1,0,0,0,0.263,김선빈,구장 : 시민,"관중 : 3,999",2008.09.03(수),개시 : 18:31,경기시간 : 3:20,KIA,삼성,,,,,,,,,
9, , , , , ,2땅, , , ,1,0,0,0,0.320,최경환,구장 : 시민,"관중 : 3,999",2008.09.03(수),개시 : 18:31,경기시간 : 3:20,KIA,삼성,,,,,,,,,
10, , , , , , , , , ,0,0,0,0,0.143,김형철,구장 : 시민,"관중 : 3,999",2008.09.03(수),개시 : 18:31,경기시간 : 3:20,KIA,삼성,,,,,,,,,
11, , , , , , , ,삼진, ,1,0,0,0,0.283,이재주,구장 : 시민,"관중 : 3,999",2008.09.03(수),개시 : 18:31,경기시간 : 3:20,KIA,삼성,,,,,,,,,
12, , , , , , , , , ,0,0,0,0,0.234,김주형,구장 : 시민,"관중 : 3,999",2008.09.03(수),개시 : 18:31,경기시간 : 3:20,KIA,삼성,,,,,,,,,
13, ,유땅, ,우비, ,중안, , ,2비,4,1,1,0,0.230,김종국,구장 : 시민,"관중 : 3,999",2008.09.03(수),개시 : 18:31,경기시간 : 3:20,KIA,삼성,,,,,,,,,
0,유직, ,4구,삼진, , ,유땅, , ,3,0,0,1,0.327,박한이,구장 : 시민,"관중 : 3,999",2008.09.03(수),개시 : 18:31,경기시간 : 3:20,삼성,KIA,,,,,,,,,
1,4구, ,4구, ,삼진, , , , ,1,0,0,1,0.255,우동균,구장 : 시민,"관중 : 3,999",2008.09.03(수),개시 : 18:31,경기시간 : 3:20,삼성,KIA,,,,,,,,,
2, , , , , , ,삼진, , ,1,0,0,0,0.298,김창희,구장 : 시민,"관중 : 3,999",2008.09.03(수),개시 : 18:31,경기시간 : 3:20,삼성,KIA,,,,,,,,,
3,3땅, ,중안, ,우안, , ,3땅, ,4,2,0,0,0.268,양준혁,구장 : 시민,"관중 : 3,999",2008.09.03(수),개시 : 18:31,경기시간 : 3:20,삼성,KIA,,,,,,,,,
4,4구, ,우2, ,1땅, , ,삼진, ,3,1,2,0,0.281,최형우,구장 : 시민,"관중 : 3,999",2008.09.03(수),개시 : 18:31,경기시간 : 3:20,삼성,KIA,,,,,,,,,
5,삼진, ,유땅, ,삼진, , , , ,3,0,0,0,0.283,박석민,구장 : 시민,"관중 : 3,999",2008.09.03(수),개시 : 18:31,경기시간 : 3:20,삼성,KIA,,,,,,,,,
6, , , , , , , ,중비, ,1,0,0,0,0.160,손지환,구장 : 시민,"관중 : 3,999",2008.09.03(수),개시 : 18:31,경기시간 : 3:20,삼성,KIA,,,,,,,,,
7, ,우2, , , , , , , ,1,1,0,0,0.267,채태인,구장 : 시민,"관중 : 3,999",2008.09.03(수),개시 : 18:31,경기시간 : 3:20,삼성,KIA,,,,,,,,,
8, , ,사구, , ,투땅, , ,삼진,2,0,0,1,0.210,조동찬,구장 : 시민,"관중 : 3,999",2008.09.03(수),개시 : 18:31,경기시간 : 3:20,삼성,KIA,,,,,,,,,
