,0,1,2,3,4,5,6,7,8,9,10,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,11,12
4, , , , , , , ,우비, ,,,1,0,0,0,0.000,박연수,구장 : 문학,"관중 : 15,883",2008.10.01(수),개시 : 18:32,경기시간 : 3:01,SK,롯데,,
5,4구, ,4구, ,4구, ,2땅,삼진, ,,,2,0,0,1,0.313,박재홍,구장 : 문학,"관중 : 15,883",2008.10.01(수),개시 : 18:32,경기시간 : 3:01,SK,롯데,,
6,우비, ,좌2, ,좌비, ,중안,3안, ,,,5,3,3,1,0.329,최정,구장 : 문학,"관중 : 15,883",2008.10.01(수),개시 : 18:32,경기시간 : 3:01,SK,롯데,,
7, ,좌2,삼진, , , , , , ,,,2,1,0,1,0.229,정상호,구장 : 문학,"관중 : 15,883",2008.10.01(수),개시 : 18:32,경기시간 : 3:01,SK,롯데,,
8, , , , ,4구, ,중안,중비, ,,,2,1,0,1,0.275,박경완,구장 : 문학,"관중 : 15,883",2008.10.01(수),개시 : 18:32,경기시간 : 3:01,SK,롯데,,
9, ,투땅,삼진, ,4구, , , , ,,,2,0,0,0,0.200,박정환,구장 : 문학,"관중 : 15,883",2008.10.01(수),개시 : 18:32,경기시간 : 3:01,SK,롯데,,
10, , , , , , ,중안, , ,,,1,1,1,0,0.295,이재원,구장 : 문학,"관중 : 15,883",2008.10.01(수),개시 : 18:32,경기시간 : 3:01,SK,롯데,,
11, , , , , , , , , ,,,0,0,0,1,0.095,김연훈,구장 : 문학,"관중 : 15,883",2008.10.01(수),개시 : 18:32,경기시간 : 3:01,SK,롯데,,
12, ,2땅, ,좌비,3비, ,좌비, , ,,,4,0,0,0,0.223,모창민,구장 : 문학,"관중 : 15,883",2008.10.01(수),개시 : 18:32,경기시간 : 3:01,SK,롯데,,
13, ,2안, ,유파, ,우비,우안, , ,,,4,2,2,0,0.500,이명기,구장 : 문학,"관중 : 15,883",2008.10.01(수),개시 : 18:32,경기시간 : 3:01,SK,롯데,,
14, , , , , , , , , ,,,0,0,0,0,0.000,오현근,구장 : 문학,"관중 : 15,883",2008.10.01(수),개시 : 18:32,경기시간 : 3:01,SK,롯데,,
0,4구,유병, ,4구, ,4구, , , ,,,1,0,0,3,0.302,이종욱,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,두산,우리,,
1, , , , , , ,사구, ,1땅,,,1,0,0,0,0.211,이성열,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,두산,우리,,
2,중안,3땅, ,우2, ,좌안, , , ,,,4,3,3,2,0.268,고영민,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,두산,우리,,
3, , , , , , ,2땅, ,우2,,,2,1,1,2,0.250,최주환,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,두산,우리,,
4, , , , , , , , , ,,,0,0,0,0,0.000,이용찬,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,두산,우리,,
5,삼진, ,1땅,좌비, ,1땅,4구, ,좌비,,,5,0,0,1,0.356,김현수,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,두산,우리,,
6,4구, ,2비, ,2땅,사구, , , ,,,2,0,0,1,0.309,김동주,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,두산,우리,,
7, , , , , , ,중안, ,1실,,,2,1,1,1,0.252,김재호,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,두산,우리,,
8,사구, , , , , , , , ,,,0,0,1,0,0.331,홍성흔,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,두산,우리,,
9, , ,중비, ,3실,사구,2땅, ,유땅,,,4,0,1,2,0.223,정원석,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,두산,우리,,
10,2땅, , ,유땅,4구,우안, ,투땅, ,,,4,1,3,1,0.251,오재원,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,두산,우리,,
11,우안, , ,유땅,좌비,삼진, , , ,,,4,1,1,0,0.280,유재웅,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,두산,우리,,
12, , , , , , , ,삼진, ,,,1,0,0,0,0.212,전상렬,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,두산,우리,,
13,1땅, , ,유실,우중2,3땅, , , ,,,4,1,2,1,0.216,채상병,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,두산,우리,,
14, , , , , , , ,투땅, ,,,1,0,0,0,0.215,최승환,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,두산,우리,,
15, ,좌안, ,우안,중비, ,유땅, , ,,,4,2,0,1,0.278,이대수,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,두산,우리,,
16, , , , , , , , ,좌중2,,,1,1,0,1,0.227,최준석,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,두산,우리,,
0,좌비, ,중비, ,중비, ,삼진, , ,,,4,0,0,0,0.270,정수성,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,우리,두산,,
1,삼진, ,삼진, ,좌비, , ,삼진, ,,,4,0,0,0,0.313,전준호,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,우리,두산,,
2,2땅, , ,좌중2, ,유땅, , , ,,,3,1,0,1,0.274,이숭용,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,우리,두산,,
3, , , , , , , ,좌안, ,,,1,1,0,0,0.333,이성재,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,우리,두산,,
4, ,2땅, ,우홈, ,투직, , , ,,,3,1,2,1,0.281,조중근,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,우리,두산,,
5, , , , , , , ,유병, ,,,1,0,0,0,0.154,오윤,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,우리,두산,,
6, , , , , , , , , ,,,0,0,0,0,0.000,배힘찬,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,우리,두산,,
7, ,사구, ,중비, ,유땅, , , ,,,2,0,0,0,0.277,송지만,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,우리,두산,,
8, , , , , , , , ,중비,,,1,0,0,0,0.227,조재호,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,우리,두산,,
9, ,투병, ,유땅, , ,중2, ,삼진,,,4,1,0,1,0.255,강정호,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,우리,두산,,
10, , ,2비, , , , , , ,,,1,0,0,0,0.241,김동수,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,우리,두산,,
11, , , ,우비, , , , , ,,,1,0,0,0,0.246,강귀태,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,우리,두산,,
12, , , , , , ,삼진, ,삼진,,,2,0,0,0,0.214,허준,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,우리,두산,,
13, , ,4구, ,중2, ,삼진, , ,,,2,1,0,0,0.238,황재균,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,우리,두산,,
14, , ,투안, ,중비, ,중안, , ,,,3,2,1,0,0.274,김일경,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,우리,두산,,
15, , , , , , , , , ,,,0,0,0,0,0.000,김민우,구장 : 목동,"관중 : 2,339",2008.10.02(목),개시 : 18:31,경기시간 : 3:04,우리,두산,,
0,3땅, ,삼진, ,좌비, , , , , ,,3,0,0,0,0.280,박재상,구장 : 무등,"관중 : 2,326",2008.10.02(목),개시 : 18:30,경기시간 : 3:17,SK,KIA,,
1, , , , , , ,3땅, ,유땅, ,,2,0,0,0,0.282,김강민,구장 : 무등,"관중 : 2,326",2008.10.02(목),개시 : 18:30,경기시간 : 3:17,SK,KIA,,
2,우비, ,좌2, ,우안, ,우비, ,1땅, ,,5,2,0,1,0.225,박정환,구장 : 무등,"관중 : 2,326",2008.10.02(목),개시 : 18:30,경기시간 : 3:17,SK,KIA,,
3,중비, ,유안, ,좌2, ,2땅, , ,투땅,,5,2,0,0,0.299,이재원,구장 : 무등,"관중 : 2,326",2008.10.02(목),개시 : 18:30,경기시간 : 3:17,SK,KIA,,
4, ,우중안,삼진, ,삼진, , , , , ,,3,1,0,1,0.143,박연수,구장 : 무등,"관중 : 2,326",2008.10.02(목),개시 : 18:30,경기시간 : 3:17,SK,KIA,,
5, , , , , , , ,우안, ,좌중2,,2,2,0,0,0.316,박재홍,구장 : 무등,"관중 : 2,326",2008.10.02(목),개시 : 18:30,경기시간 : 3:17,SK,KIA,,
6, ,우중안,중안, , , , , , , ,,2,2,1,0,0.239,정상호,구장 : 무등,"관중 : 2,326",2008.10.02(목),개시 : 18:30,경기시간 : 3:17,SK,KIA,,
7, , , , ,삼진, , ,투희번, ,2땅,,2,0,0,0,0.273,박경완,구장 : 무등,"관중 : 2,326",2008.10.02(목),개시 : 18:30,경기시간 : 3:17,SK,KIA,,
8, ,투희선,3땅, , ,3파, , , , ,,2,0,0,0,0.220,모창민,구장 : 무등,"관중 : 2,326",2008.10.02(목),개시 : 18:30,경기시간 : 3:17,SK,KIA,,
9, , , , , , , ,3땅, ,투땅,,2,0,0,0,0.311,정근우,구장 : 무등,"관중 : 2,326",2008.10.02(목),개시 : 18:30,경기시간 : 3:17,SK,KIA,,
10, ,3땅, ,유안, ,2비, , , , ,,3,1,0,0,0.235,김동건,구장 : 무등,"관중 : 2,326",2008.10.02(목),개시 : 18:30,경기시간 : 3:17,SK,KIA,,
11, , , , , , , ,4구, , ,,0,0,0,0,0.329,최정,구장 : 무등,"관중 : 2,326",2008.10.02(목),개시 : 18:30,경기시간 : 3:17,SK,KIA,,
12, ,3땅, ,유2병, ,좌안, ,우비, , ,,4,1,0,0,0.120,김연훈,구장 : 무등,"관중 : 2,326",2008.10.02(목),개시 : 18:30,경기시간 : 3:17,SK,KIA,,
13, ,삼진, ,2땅, ,삼진, , , , ,,3,0,0,0,0.286,이명기,구장 : 무등,"관중 : 2,326",2008.10.02(목),개시 : 18:30,경기시간 : 3:17,SK,KIA,,
14, , , , , , , , ,삼진, ,,1,0,0,0,0.000,오현근,구장 : 무등,"관중 : 2,326",2008.10.02(목),개시 : 18:30,경기시간 : 3:17,SK,KIA,,
0,삼진, ,삼진, ,3땅, ,삼진, , ,우중3,,5,1,0,1,0.305,김원섭,구장 : 무등,"관중 : 2,326",2008.10.02(목),개시 : 18:30,경기시간 : 3:17,KIA,SK,,
1,유안, ,유땅, , ,3번, ,삼진, ,3파,,5,1,0,0,0.240,이호신,구장 : 무등,"관중 : 2,326",2008.10.02(목),개시 : 18:30,경기시간 : 3:17,KIA,SK,,
2,삼진, ,포파, , ,유안, ,4구, , ,,3,1,0,0,0.292,나지완,구장 : 무등,"관중 : 2,326",2008.10.02(목),개시 : 18:30,경기시간 : 3:17,KIA,SK,,
3,4구, , ,4구, ,중안, ,중비, , ,,2,1,0,0,0.280,이재주,구장 : 무등,"관중 : 2,326",2008.10.02(목),개시 : 18:30,경기시간 : 3:17,KIA,SK,,
4,중비, , ,2유병, , , , , , ,,2,0,0,0,0.200,이영수,구장 : 무등,"관중 : 2,326",2008.10.02(목),개시 : 18:30,경기시간 : 3:17,KIA,SK,,
5, , , , , ,삼진, , , , ,,1,0,0,0,0.294,최경환,구장 : 무등,"관중 : 2,326",2008.10.02(목),개시 : 18:30,경기시간 : 3:17,KIA,SK,,
6, , , , , , , ,3땅, , ,,1,0,0,0,0.115,최용규,구장 : 무등,"관중 : 2,326",2008.10.02(목),개시 : 18:30,경기시간 : 3:17,KIA,SK,,
7, ,좌2, ,삼진, ,1비, , ,4구, ,,3,1,0,1,0.234,김종국,구장 : 무등,"관중 : 2,326",2008.10.02(목),개시 : 18:30,경기시간 : 3:17,KIA,SK,,
8, ,우희비, , ,2땅, ,좌홈, ,투희번, ,,2,1,2,1,0.111,이성우,구장 : 무등,"관중 : 2,326",2008.10.02(목),개시 : 18:30,경기시간 : 3:17,KIA,SK,,
9, ,우비, , ,4구, ,투번, ,우안, ,,3,1,0,0,0.253,김선빈,구장 : 무등,"관중 : 2,326",2008.10.02(목),개시 : 18:30,경기시간 : 3:17,KIA,SK,,
10, ,1땅, , ,투땅, ,삼진, , , ,,3,0,0,0,0.147,김형철,구장 : 무등,"관중 : 2,326",2008.10.02(목),개시 : 18:30,경기시간 : 3:17,KIA,SK,,
11, , , , , , , , ,1파, ,,1,0,0,0,0.267,김상훈,구장 : 무등,"관중 : 2,326",2008.10.02(목),개시 : 18:30,경기시간 : 3:17,KIA,SK,,
12, , , , , , , , , , ,,0,0,0,0,0.200,유용목,구장 : 무등,"관중 : 2,326",2008.10.02(목),개시 : 18:30,경기시간 : 3:17,KIA,SK,,
0,유땅,좌실, , ,좌비, ,사구, ,2비,,,4,0,0,0,0.248,김재호,구장 : 목동,"관중 : 5,374",2008.10.03(금),개시 : 16:58,경기시간 : 2:21,두산,우리,,
