,0,1,2,3,4,5,6,7,8,9,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,10,11,12
9, ,4구,유땅, ,4구,유땅, ,유비, ,,3,0,0,2,0.290,안경현,구장 : 잠실,"관중 : 4,661",2002.08.01(목),개시 : 18:30,경기시간 : 3:18,두산,한화,,,
10, ,4구, ,1땅,우중2, ,삼진, , ,,3,1,0,2,0.282,장원진,구장 : 잠실,"관중 : 4,661",2002.08.01(목),개시 : 18:30,경기시간 : 3:18,두산,한화,,,
11, ,투희번, ,2땅,삼진, ,좌안, , ,,3,1,0,1,0.290,홍성흔,구장 : 잠실,"관중 : 4,661",2002.08.01(목),개시 : 18:30,경기시간 : 3:18,두산,한화,,,
12, ,1땅, ,좌안, , , , , ,,2,1,1,1,0.270,김호,구장 : 잠실,"관중 : 4,661",2002.08.01(목),개시 : 18:30,경기시간 : 3:18,두산,한화,,,
13, , , , ,좌안, , , , ,,1,1,1,0,0.317,송원국,구장 : 잠실,"관중 : 4,661",2002.08.01(목),개시 : 18:30,경기시간 : 3:18,두산,한화,,,
14, , , , , , ,3땅, , ,,1,0,0,0,0.153,김민호,구장 : 잠실,"관중 : 4,661",2002.08.01(목),개시 : 18:30,경기시간 : 3:18,두산,한화,,,
0,3땅, , ,2땅, ,중안, , ,유땅,,4,1,0,0,0.260,유지현,구장 : 사직,관중 : 903,2002.08.01(목),개시 : 18:30,경기시간 : 2:35,LG,롯데,,,
1,1파, , ,좌비, , ,삼진, ,투땅,,4,0,0,0,0.286,이종열,구장 : 사직,관중 : 903,2002.08.01(목),개시 : 18:30,경기시간 : 2:35,LG,롯데,,,
2,2땅, , ,중안, , ,좌비, ,삼진,,4,1,0,0,0.301,박용택,구장 : 사직,관중 : 903,2002.08.01(목),개시 : 18:30,경기시간 : 2:35,LG,롯데,,,
3, ,삼진, ,우비, , ,중비, , ,,3,0,0,0,0.257,최동수,구장 : 사직,관중 : 903,2002.08.01(목),개시 : 18:30,경기시간 : 2:35,LG,롯데,,,
4, ,포파, , ,유땅, , , , ,,2,0,0,0,0.268,마르티네,구장 : 사직,관중 : 903,2002.08.01(목),개시 : 18:30,경기시간 : 2:35,LG,롯데,,,
5, , , , , , , ,2땅, ,,1,0,0,0,0.244,이일의,구장 : 사직,관중 : 903,2002.08.01(목),개시 : 18:30,경기시간 : 2:35,LG,롯데,,,
6, ,중비, , ,2땅, , ,2땅, ,,3,0,0,0,0.290,서용빈,구장 : 사직,관중 : 903,2002.08.01(목),개시 : 18:30,경기시간 : 2:35,LG,롯데,,,
7, , ,중비, ,중비, , ,중안, ,,3,1,0,0,0.252,조인성,구장 : 사직,관중 : 903,2002.08.01(목),개시 : 18:30,경기시간 : 2:35,LG,롯데,,,
8, , , , , , , , , ,,0,0,0,0,0.091,김우석,구장 : 사직,관중 : 903,2002.08.01(목),개시 : 18:30,경기시간 : 2:35,LG,롯데,,,
9, , ,포안, , ,삼진, , , ,,2,1,0,0,0.254,최만호,구장 : 사직,관중 : 903,2002.08.01(목),개시 : 18:30,경기시간 : 2:35,LG,롯데,,,
10, , , , , , , ,4구, ,,0,0,0,0,0.342,김재현,구장 : 사직,관중 : 903,2002.08.01(목),개시 : 18:30,경기시간 : 2:35,LG,롯데,,,
11, , , , , , , , , ,,0,0,0,0,0.263,장재중,구장 : 사직,관중 : 903,2002.08.01(목),개시 : 18:30,경기시간 : 2:35,LG,롯데,,,
12, , ,유2병, , ,투번, , , ,,2,0,0,0,0.221,권용관,구장 : 사직,관중 : 903,2002.08.01(목),개시 : 18:30,경기시간 : 2:35,LG,롯데,,,
13, , , , , , , ,삼진, ,,1,0,0,0,0.219,박연수,구장 : 사직,관중 : 903,2002.08.01(목),개시 : 18:30,경기시간 : 2:35,LG,롯데,,,
0,2땅, ,포파, , ,투땅, , , ,,3,0,0,0,0.296,김대익,구장 : 사직,관중 : 903,2002.08.01(목),개시 : 18:30,경기시간 : 2:35,롯데,LG,,,
1, , , , , , , ,삼진, ,,1,0,0,0,0.298,엄정대,구장 : 사직,관중 : 903,2002.08.01(목),개시 : 18:30,경기시간 : 2:35,롯데,LG,,,
2,유땅, ,유땅, , ,1땅, , , ,,3,0,0,0,0.259,이우민,구장 : 사직,관중 : 903,2002.08.01(목),개시 : 18:30,경기시간 : 2:35,롯데,LG,,,
3,삼진, , ,우비, , ,1땅, , ,,3,0,0,0,0.269,박종윤,구장 : 사직,관중 : 903,2002.08.01(목),개시 : 18:30,경기시간 : 2:35,롯데,LG,,,
4, ,우홈, ,삼진, , ,삼진, , ,,3,1,1,1,0.247,김응국,구장 : 사직,관중 : 903,2002.08.01(목),개시 : 18:30,경기시간 : 2:35,롯데,LG,,,
5, ,삼진, ,투땅, , ,좌홈, , ,,3,1,1,1,0.264,최기문,구장 : 사직,관중 : 903,2002.08.01(목),개시 : 18:30,경기시간 : 2:35,롯데,LG,,,
6, ,투땅, , ,좌안, ,우안, , ,,3,2,0,0,0.301,박현승,구장 : 사직,관중 : 903,2002.08.01(목),개시 : 18:30,경기시간 : 2:35,롯데,LG,,,
7, ,2땅, , ,삼진, ,2직, , ,,3,0,0,0,0.219,김주찬,구장 : 사직,관중 : 903,2002.08.01(목),개시 : 18:30,경기시간 : 2:35,롯데,LG,,,
8, , ,4구, ,우비, , ,유땅, ,,2,0,0,0,0.253,이동욱,구장 : 사직,관중 : 903,2002.08.01(목),개시 : 18:30,경기시간 : 2:35,롯데,LG,,,
9, , ,중안, , ,좌비, ,삼진, ,,3,1,0,0,0.196,조성환,구장 : 사직,관중 : 903,2002.08.01(목),개시 : 18:30,경기시간 : 2:35,롯데,LG,,,
0,중안,중안, ,투땅, ,2땅, , ,1땅,,5,2,0,1,0.294,전준호,구장 : 시민,"관중 : 11,338",2002.08.02(금),개시 : 18:30,경기시간 : 2:44,현대,삼성,,,
1,투희번,2땅, ,3땅, , ,중안, , ,,3,1,0,1,0.243,박종호,구장 : 시민,"관중 : 11,338",2002.08.02(금),개시 : 18:30,경기시간 : 2:44,현대,삼성,,,
2,삼진,2실, ,3땅, , ,유2병, , ,,4,0,0,1,0.304,박재홍,구장 : 시민,"관중 : 11,338",2002.08.02(금),개시 : 18:30,경기시간 : 2:44,현대,삼성,,,
3, , , , , , , , , ,,0,0,0,0,0.320,조재호,구장 : 시민,"관중 : 11,338",2002.08.02(금),개시 : 18:30,경기시간 : 2:44,현대,삼성,,,
4,사구,우홈, , ,1땅, ,2땅, , ,,3,1,3,2,0.332,이숭용,구장 : 시민,"관중 : 11,338",2002.08.02(금),개시 : 18:30,경기시간 : 2:44,현대,삼성,,,
5,유안,삼진, , ,투땅, , ,1비, ,,4,1,0,1,0.318,심정수,구장 : 시민,"관중 : 11,338",2002.08.02(금),개시 : 18:30,경기시간 : 2:44,현대,삼성,,,
6,우안, ,우홈, ,유비, , ,중비, ,,4,2,3,1,0.417,프랭클린,구장 : 시민,"관중 : 11,338",2002.08.02(금),개시 : 18:30,경기시간 : 2:44,현대,삼성,,,
7, , , , , , , , , ,,0,0,0,0,0.243,채종국,구장 : 시민,"관중 : 11,338",2002.08.02(금),개시 : 18:30,경기시간 : 2:44,현대,삼성,,,
8,중안, ,1파, , ,2땅, ,2땅, ,,4,1,1,0,0.265,폴,구장 : 시민,"관중 : 11,338",2002.08.02(금),개시 : 18:30,경기시간 : 2:44,현대,삼성,,,
9,삼진, ,1땅, , ,2땅, , ,우비,,4,0,0,0,0.182,강귀태,구장 : 시민,"관중 : 11,338",2002.08.02(금),개시 : 18:30,경기시간 : 2:44,현대,삼성,,,
10, , , , , , , , , ,,0,0,0,0,0.210,박경완,구장 : 시민,"관중 : 11,338",2002.08.02(금),개시 : 18:30,경기시간 : 2:44,현대,삼성,,,
11, ,3땅,중비, , ,좌중2, , , ,,3,1,0,0,0.230,박진만,구장 : 시민,"관중 : 11,338",2002.08.02(금),개시 : 18:30,경기시간 : 2:44,현대,삼성,,,
12, , , , , , , , ,2땅,,1,0,0,0,0.225,강병식,구장 : 시민,"관중 : 11,338",2002.08.02(금),개시 : 18:30,경기시간 : 2:44,현대,삼성,,,
13, , , , , , , , , ,,0,0,0,0,0.208,서한규,구장 : 시민,"관중 : 11,338",2002.08.02(금),개시 : 18:30,경기시간 : 2:44,현대,삼성,,,
0,삼진, ,좌안, ,유땅, , ,유실,유비,,5,1,0,1,0.276,강동우,구장 : 시민,"관중 : 11,338",2002.08.02(금),개시 : 18:30,경기시간 : 2:44,삼성,현대,,,
1,우비, ,삼진, , ,중비, , , ,,3,0,0,0,0.281,박한이,구장 : 시민,"관중 : 11,338",2002.08.02(금),개시 : 18:30,경기시간 : 2:44,삼성,현대,,,
2, , , , , , , ,삼진,삼진,,2,0,0,0,0.271,김종훈,구장 : 시민,"관중 : 11,338",2002.08.02(금),개시 : 18:30,경기시간 : 2:44,삼성,현대,,,
3,우중홈, ,4구, , ,2땅, ,중안, ,,3,2,1,1,0.324,이승엽,구장 : 시민,"관중 : 11,338",2002.08.02(금),개시 : 18:30,경기시간 : 2:44,삼성,현대,,,
4,4구, ,2유병, , ,3땅, ,우비, ,,3,0,0,0,0.310,마해영,구장 : 시민,"관중 : 11,338",2002.08.02(금),개시 : 18:30,경기시간 : 2:44,삼성,현대,,,
5,유땅, , ,좌비, , ,삼진,우2, ,,4,1,1,0,0.297,김한수,구장 : 시민,"관중 : 11,338",2002.08.02(금),개시 : 18:30,경기시간 : 2:44,삼성,현대,,,
6, ,중비, ,3비, , ,좌2,3땅, ,,4,1,0,1,0.276,브리또,구장 : 시민,"관중 : 11,338",2002.08.02(금),개시 : 18:30,경기시간 : 2:44,삼성,현대,,,
7, ,1땅, ,2땅, , ,삼진, ,우안,,4,1,0,1,0.256,양준혁,구장 : 시민,"관중 : 11,338",2002.08.02(금),개시 : 18:30,경기시간 : 2:44,삼성,현대,,,
8, ,1파, , ,유땅, ,좌2, , ,,3,1,1,0,0.292,진갑용,구장 : 시민,"관중 : 11,338",2002.08.02(금),개시 : 18:30,경기시간 : 2:44,삼성,현대,,,
9, , , , , , , , ,좌홈,,1,1,2,1,0.429,현재윤,구장 : 시민,"관중 : 11,338",2002.08.02(금),개시 : 18:30,경기시간 : 2:44,삼성,현대,,,
10, , ,중안, ,3땅, ,투땅, , ,,3,1,0,0,0.245,박정환,구장 : 시민,"관중 : 11,338",2002.08.02(금),개시 : 18:30,경기시간 : 2:44,삼성,현대,,,
11, , , , , , , , ,삼진,,1,0,0,0,0.143,이준민,구장 : 시민,"관중 : 11,338",2002.08.02(금),개시 : 18:30,경기시간 : 2:44,삼성,현대,,,
0,4구, ,우비, ,유땅, , , , ,,2,0,0,1,0.306,이진영,구장 : 무등,"관중 : 3,352",2002.08.02(금),개시 : 18:30,경기시간 : 2:55,SK,KIA,,,
1, , , , , , , ,3땅, ,,1,0,0,0,0.247,조원우,구장 : 무등,"관중 : 3,352",2002.08.02(금),개시 : 18:30,경기시간 : 2:55,SK,KIA,,,
2,우안, ,우안, , ,삼진, ,사구, ,,3,2,0,0,0.274,김민재,구장 : 무등,"관중 : 3,352",2002.08.02(금),개시 : 18:30,경기시간 : 2:55,SK,KIA,,,
3, , , , , , , , , ,,0,0,0,0,0.216,송재익,구장 : 무등,"관중 : 3,352",2002.08.02(금),개시 : 18:30,경기시간 : 2:55,SK,KIA,,,
4,유땅, ,중비, , ,중비, ,4구, ,,3,0,0,0,0.304,채종범,구장 : 무등,"관중 : 3,352",2002.08.02(금),개시 : 18:30,경기시간 : 2:55,SK,KIA,,,
5,삼진, ,삼진, , ,중홈, ,삼진, ,,4,1,1,1,0.279,페르난데,구장 : 무등,"관중 : 3,352",2002.08.02(금),개시 : 18:30,경기시간 : 2:55,SK,KIA,,,
6,2땅, , ,우비, ,2땅, , ,우중2,,4,1,0,0,0.231,김기태,구장 : 무등,"관중 : 3,352",2002.08.02(금),개시 : 18:30,경기시간 : 2:55,SK,KIA,,,
7, ,삼진, ,좌안, , ,유안, ,2땅,,4,2,0,0,0.300,이호준,구장 : 무등,"관중 : 3,352",2002.08.02(금),개시 : 18:30,경기시간 : 2:55,SK,KIA,,,
8, ,좌안, ,1직, , ,좌비, ,삼진,,4,1,0,0,0.289,잉글린,구장 : 무등,"관중 : 3,352",2002.08.02(금),개시 : 18:30,경기시간 : 2:55,SK,KIA,,,
9, ,3땅, , ,투땅, , , , ,,2,0,0,0,0.258,김동수,구장 : 무등,"관중 : 3,352",2002.08.02(금),개시 : 18:30,경기시간 : 2:55,SK,KIA,,,
10, , , , , , ,유2병, , ,,1,0,0,0,0.227,조경환,구장 : 무등,"관중 : 3,352",2002.08.02(금),개시 : 18:30,경기시간 : 2:55,SK,KIA,,,
11, , , , , , , , ,1파,,1,0,0,0,0.111,정경배,구장 : 무등,"관중 : 3,352",2002.08.02(금),개시 : 18:30,경기시간 : 2:55,SK,KIA,,,
12, ,2땅, , ,유땅, , , , ,,2,0,0,0,0.246,최태원,구장 : 무등,"관중 : 3,352",2002.08.02(금),개시 : 18:30,경기시간 : 2:55,SK,KIA,,,
13, , , , , , , ,3땅, ,,1,0,0,0,0.245,강성우,구장 : 무등,"관중 : 3,352",2002.08.02(금),개시 : 18:30,경기시간 : 2:55,SK,KIA,,,
