,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,HP,SO,SB,CS,SH,GDP,E,컴프야P,ground
2018년 03월 14일,39,33,9,7,1,0,1,4,3,4,1,6,2,0,1,2,0,149,사직
2018년 03월 14일,42,35,11,10,0,0,1,6,6,3,1,8,3,0,3,0,1,197,마산
2018년 03월 15일,,,,,,,,,,,,,,,,,,,대전
2018년 03월 15일,,,,,,,,,,,,,,,,,,,대구
2018년 03월 15일,,,,,,,,,,,,,,,,,,,광주
2018년 03월 15일,,,,,,,,,,,,,,,,,,,사직
2018년 03월 15일,,,,,,,,,,,,,,,,,,,마산
2018년 03월 16일,37,34,9,5,3,0,1,6,5,3,0,7,1,1,0,1,1,147,대전
2018년 03월 16일,43,38,12,9,2,0,1,7,7,5,0,6,1,0,0,1,2,193,대구
2018년 03월 16일,36,34,8,5,2,0,1,3,3,2,0,14,1,0,0,1,0,41,광주
2018년 03월 16일,39,34,8,5,3,0,0,5,5,4,1,14,0,0,0,1,2,32,사직
2018년 03월 16일,31,28,3,1,1,0,1,1,1,3,0,8,0,1,0,1,0,-34,마산
2018년 03월 17일,43,36,12,9,2,0,1,5,5,5,2,7,0,1,0,1,1,169,잠실
2018년 03월 17일,38,34,10,7,2,0,1,4,4,3,0,6,1,1,1,0,2,118,인천
2018년 03월 17일,53,44,19,13,5,0,1,17,13,7,1,6,0,0,1,3,0,418,수원
2018년 03월 17일,32,31,5,2,1,0,2,3,3,1,0,10,0,0,0,0,0,37,대전
2018년 03월 17일,46,34,11,7,1,0,3,11,11,9,1,6,1,1,2,0,0,411,대구
2018년 03월 18일,35,31,4,2,1,1,0,1,1,4,0,11,0,0,0,0,1,-67,잠실
2018년 03월 18일,35,34,10,7,1,1,1,3,3,1,0,10,0,2,0,1,0,73,인천
2018년 03월 18일,36,35,10,7,3,0,0,3,3,1,0,6,0,1,0,1,0,46,수원
2018년 03월 18일,38,35,9,8,1,0,0,1,1,1,2,8,0,0,0,0,0,-19,대전
2018년 03월 18일,42,34,11,8,1,0,2,8,6,4,1,7,1,1,3,0,0,250,대구
2018년 03월 20일,41,34,7,7,0,0,0,2,2,7,0,13,3,0,0,0,2,-4,잠실
2018년 03월 20일,34,32,8,4,3,0,1,5,5,2,0,6,2,2,0,0,0,144,고척
2018년 03월 20일,37,34,8,6,0,1,1,5,5,3,0,9,3,0,0,1,1,120,인천
2018년 03월 20일,23,19,5,3,1,0,1,4,4,4,0,4,0,0,0,1,0,106,대구
2018년 03월 20일,,,,,,,,,,,,,,,,,,,사직
2018년 03월 21일,,,,,,,,,,,,,,,,,,,잠실
2018년 03월 21일,36,32,8,6,2,0,0,1,1,3,1,7,0,0,0,2,4,-39,고척
2018년 03월 21일,,,,,,,,,,,,,,,,,,,인천
2018년 03월 21일,,,,,,,,,,,,,,,,,,,대구
2018년 03월 21일,,,,,,,,,,,,,,,,,,,사직
2018년 07월 13일,35,33,10,10,0,0,0,2,2,2,0,11,1,1,0,0,0,10,울산
2018년 07월 14일,46,43,16,8,4,0,4,10,10,3,0,8,1,0,0,0,2,402,울산
2018년 08월 16일,36,32,8,8,0,0,0,2,2,4,0,10,2,1,0,3,1,-14,잠실
2018년 08월 16일,52,43,15,9,3,0,3,14,12,6,3,8,1,0,0,0,1,425,인천
2018년 08월 16일,32,30,5,3,2,0,0,2,2,2,0,9,0,0,0,1,2,-60,대구
2018년 08월 16일,47,42,17,13,2,0,2,6,6,4,0,9,0,1,1,0,0,257,사직
2018년 08월 16일,36,35,10,8,1,0,1,3,3,1,0,9,0,0,0,2,0,56,수원
2018년 08월 26일,30,30,5,3,0,1,1,2,2,0,0,9,0,0,0,1,0,8,인도
2018년 08월 27일,17,17,3,3,0,0,0,0,0,0,0,8,0,0,0,1,2,-94,인도
2018년 08월 28일,59,41,16,7,4,0,5,21,20,14,1,1,3,1,3,0,0,785,인도
2018년 08월 30일,45,42,14,10,1,0,3,5,5,1,2,8,0,0,0,0,1,233,인도
2018년 08월 31일,37,34,8,7,1,0,0,1,1,1,2,10,0,0,0,1,2,-50,인도
2018년 09월 01일,30,29,1,1,0,0,0,0,0,1,0,7,1,0,0,1,0,-125,인도
2018년 10월 02일,40,37,9,4,4,0,1,6,6,3,0,9,0,0,0,0,0,120,잠실
2018년 10월 02일,48,42,14,9,1,0,4,8,7,5,1,11,0,0,0,2,1,299,인천
2018년 10월 02일,50,46,16,13,3,0,0,6,6,3,0,4,1,1,1,1,0,200,광주
2018년 10월 03일,37,34,8,6,1,0,1,4,4,1,1,8,0,1,1,0,0,97,잠실
2018년 10월 03일,41,35,9,6,3,0,0,6,6,6,0,9,1,0,0,1,1,106,대전
2018년 10월 03일,39,34,12,10,1,0,1,5,5,2,1,11,0,0,2,1,2,109,대구
2018년 10월 04일,39,36,11,7,0,0,4,7,7,2,0,5,1,0,1,0,0,304,인천
1970년 01월 01일,,,,,,,,,,,,,,,,,,,장 
2018년 10월 05일,,,,,,,,,,,,,,,,,,,인천
2018년 10월 05일,,,,,,,,,,,,,,,,,,,사직
2018년 10월 06일,36,33,7,5,0,0,2,3,3,3,0,5,0,0,0,0,0,114,잠실
2018년 10월 06일,37,36,9,6,0,0,3,5,5,1,0,8,0,1,0,1,1,128,인천
2018년 10월 06일,35,31,6,5,0,0,1,1,1,3,1,4,0,1,0,1,1,13,수원
2018년 10월 06일,36,34,9,6,1,0,2,5,5,2,0,6,0,0,0,2,0,134,사직
