,name,year,team,position,birth,height,weight,age,war,g,ts,ab,r1,h,b2,b3,hr,tb,rbi,sb,cs,bb,hbp,bb4,so,gdp,ht,hb,avg,obp,slg,ops
1634,최병연,2017,KIA,SS,1986-12-21,178,80,32,-0.02,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1635,최병연,2016,KIA,SS,1986-12-21,178,80,31,-0.15,12,9,8,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0.0,0.111,0.0,0.111
1636,신민재,2019,LG,2B,1996-01-21,171,64,24,-0.01,81,93,80,25,19,3,0,0,22,5,10,8,8,3,0,17,0,1,1,0.238,0.326,0.275,0.601
1637,정상교,2011,KIA,SS,1991-10-01,177,73,21,-0.01,7,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5
1638,정상교,2012,KIA,SS,1991-10-01,177,73,22,-0.02,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1639,이유찬,2018,두산,2B,1998-08-05,175,68,21,-0.01,28,24,22,5,6,1,0,0,7,2,1,1,1,1,0,6,1,0,0,0.273,0.333,0.318,0.652
1640,이유찬,2019,두산,DH,1998-08-05,175,68,22,-0.02,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1641,고도현,2013,롯데,CF,1990-10-13,182,97,24,-0.01,4,4,4,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0.25,0.25,0.25,0.5
1642,고도현,2014,롯데,LF,1990-10-13,182,97,25,-0.02,4,7,7,0,2,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0.28600000000000003,0.28600000000000003,0.28600000000000003,0.5710000000000001
1643,이창섭,2015,NC,SS,1987-03-10,181,74,29,-0.01,16,8,5,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0.0,0.375,0.0,0.375
1644,이창섭,2013,NC,3B,1987-03-10,181,74,27,-0.11,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0
1645,임익준,2014,한화,2B,1988-03-15,180,83,27,-0.01,6,10,10,2,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0.3,0.3,0.3,0.6
1646,임익준,2017,한화,2B,1988-03-15,180,83,30,-0.03,30,47,36,7,9,1,0,0,10,2,1,0,7,0,0,8,2,4,0,0.25,0.3720000000000001,0.278,0.65
1647,임익준,2016,한화,SS,1988-03-15,180,83,29,-0.05,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1648,임익준,2015,한화,3B,1988-03-15,180,83,28,-0.08,4,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0
1649,임익준,2012,한화,2B,1988-03-15,180,83,25,-0.08,10,5,5,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0
1650,임익준,2013,한화,2B,1988-03-15,180,83,26,-0.12,36,67,63,6,16,1,0,0,17,1,1,3,4,0,0,13,3,0,0,0.254,0.299,0.27,0.568
