,0,1,2,3,4,5,6,7,8,9,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,10,11
1,우비, ,우비, , ,중비, , , ,,3,0,0,0,0.000,이종열,구장 : 잠실,"관중 : 17,295",2007.04.07(토),개시 : 14:01,경기시간 : 3:13,LG,KIA,,
2, , , , , , , ,삼진, ,,1,0,0,0,0.000,박경수,구장 : 잠실,"관중 : 17,295",2007.04.07(토),개시 : 14:01,경기시간 : 3:13,LG,KIA,,
3,좌비, , ,유땅, ,삼진, , ,2땅,,4,0,0,0,0.250,박용택,구장 : 잠실,"관중 : 17,295",2007.04.07(토),개시 : 14:01,경기시간 : 3:13,LG,KIA,,
4, ,우중안, ,2땅, , ,좌비, ,1직,,4,1,0,0,0.143,발데스,구장 : 잠실,"관중 : 17,295",2007.04.07(토),개시 : 14:01,경기시간 : 3:13,LG,KIA,,
5, ,삼진, ,중비, , ,유땅, ,좌홈,,4,1,1,1,0.143,마해영,구장 : 잠실,"관중 : 17,295",2007.04.07(토),개시 : 14:01,경기시간 : 3:13,LG,KIA,,
6, ,3땅, , ,삼진, ,우비, ,중비,,4,0,0,0,0.250,최길성,구장 : 잠실,"관중 : 17,295",2007.04.07(토),개시 : 14:01,경기시간 : 3:13,LG,KIA,,
7, , ,4구, ,좌비, , ,3실, ,,2,0,0,1,0.000,김상현,구장 : 잠실,"관중 : 17,295",2007.04.07(토),개시 : 14:01,경기시간 : 3:13,LG,KIA,,
8, , ,2비, ,좌비, , , , ,,2,0,0,0,0.400,조인성,구장 : 잠실,"관중 : 17,295",2007.04.07(토),개시 : 14:01,경기시간 : 3:13,LG,KIA,,
9, , , , , , , ,삼진, ,,1,0,0,0,0.000,이성열,구장 : 잠실,"관중 : 17,295",2007.04.07(토),개시 : 14:01,경기시간 : 3:13,LG,KIA,,
10, , ,중안, , ,4구, , , ,,1,1,0,0,0.667,권용관,구장 : 잠실,"관중 : 17,295",2007.04.07(토),개시 : 14:01,경기시간 : 3:13,LG,KIA,,
11, , , , , , , ,중희비, ,,0,0,1,0,0.000,최동수,구장 : 잠실,"관중 : 17,295",2007.04.07(토),개시 : 14:01,경기시간 : 3:13,LG,KIA,,
12, , , , , , , , , ,,0,0,0,0,0.000,박용근,구장 : 잠실,"관중 : 17,295",2007.04.07(토),개시 : 14:01,경기시간 : 3:13,LG,KIA,,
0,4구, ,좌중안, ,1땅, ,유땅, , ,,3,1,0,0,0.286,이종욱,구장 : 시민,"관중 : 8,702",2007.04.07(토),개시 : 17:01,경기시간 : 2:58,두산,삼성,,
1,좌안, ,2땅, ,3땅, , ,유땅, ,,4,1,0,0,0.250,고영민,구장 : 시민,"관중 : 8,702",2007.04.07(토),개시 : 17:01,경기시간 : 2:58,두산,삼성,,
