,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11,12,13
3, , , , , ,투희번,좌비, , ,1,0,0,0,0.314,김민재,구장 : 사직,"관중 : 14,479",2001.09.01(토),개시 : 17:01,경기시간 : 3:23,롯데,한화,,,,,
4,4구, ,중비, , ,고4,4구, , ,1,0,0,1,0.350,호세,구장 : 사직,"관중 : 14,479",2001.09.01(토),개시 : 17:01,경기시간 : 3:23,롯데,한화,,,,,
5,삼진, , ,우비, ,좌안,좌2, , ,4,2,2,1,0.301,조경환,구장 : 사직,"관중 : 14,479",2001.09.01(토),개시 : 17:01,경기시간 : 3:23,롯데,한화,,,,,
6, ,투땅, ,중비, ,좌2,1직, , ,4,1,1,1,0.260,박정태,구장 : 사직,"관중 : 14,479",2001.09.01(토),개시 : 17:01,경기시간 : 3:23,롯데,한화,,,,,
7, , , , , , , , , ,0,0,0,0,0.120,박기혁,구장 : 사직,"관중 : 14,479",2001.09.01(토),개시 : 17:01,경기시간 : 3:23,롯데,한화,,,,,
8, ,삼진, ,삼진, , , , , ,2,0,0,0,0.260,얀,구장 : 사직,"관중 : 14,479",2001.09.01(토),개시 : 17:01,경기시간 : 3:23,롯데,한화,,,,,
9, , , , , ,우중2,삼진, , ,2,1,2,0,0.254,이계성,구장 : 사직,"관중 : 14,479",2001.09.01(토),개시 : 17:01,경기시간 : 3:23,롯데,한화,,,,,
10, ,좌안, , ,유땅,중비, ,포파, ,4,1,0,0,0.296,최기문,구장 : 사직,"관중 : 14,479",2001.09.01(토),개시 : 17:01,경기시간 : 3:23,롯데,한화,,,,,
11, ,삼진, , ,삼진, , , , ,2,0,0,0,0.269,임재철,구장 : 사직,"관중 : 14,479",2001.09.01(토),개시 : 17:01,경기시간 : 3:23,롯데,한화,,,,,
12, , , , , ,4구, , , ,0,0,0,0,0.271,허문회,구장 : 사직,"관중 : 14,479",2001.09.01(토),개시 : 17:01,경기시간 : 3:23,롯데,한화,,,,,
13, , , , , , , ,3땅, ,1,0,0,0,0.195,조성환,구장 : 사직,"관중 : 14,479",2001.09.01(토),개시 : 17:01,경기시간 : 3:23,롯데,한화,,,,,
0,우비, ,투실, ,우비, ,3땅, , ,4,0,0,0,0.289,김종훈,구장 : 수원,"관중 : 3,257",2001.09.01(토),개시 : 17:00,경기시간 : 3:15,삼성,현대,,,,,
1, , , , , , , , ,우중안,1,1,1,0,0.266,김동수,구장 : 수원,"관중 : 3,257",2001.09.01(토),개시 : 17:00,경기시간 : 3:15,삼성,현대,,,,,
2, , , , , , , , , ,0,0,0,0,0.280,강동우,구장 : 수원,"관중 : 3,257",2001.09.01(토),개시 : 17:00,경기시간 : 3:15,삼성,현대,,,,,
3,삼진, ,2유병, , ,좌안,삼진, ,삼진,5,1,0,1,0.267,정경배,구장 : 수원,"관중 : 3,257",2001.09.01(토),개시 : 17:00,경기시간 : 3:15,삼성,현대,,,,,
4,3땅, ,3땅, , ,4구, ,삼진,중비,4,0,0,1,0.299,마해영,구장 : 수원,"관중 : 3,257",2001.09.01(토),개시 : 17:00,경기시간 : 3:15,삼성,현대,,,,,
5, ,3땅, ,2비, ,좌비, ,유땅, ,4,0,0,0,0.281,마르티네,구장 : 수원,"관중 : 3,257",2001.09.01(토),개시 : 17:00,경기시간 : 3:15,삼성,현대,,,,,
6, ,유땅, ,우중2, ,사구, ,중2, ,3,2,0,1,0.301,바에르가,구장 : 수원,"관중 : 3,257",2001.09.01(토),개시 : 17:00,경기시간 : 3:15,삼성,현대,,,,,
7, ,4구, ,유땅, ,중비, ,투땅, ,3,0,0,0,0.297,김한수,구장 : 수원,"관중 : 3,257",2001.09.01(토),개시 : 17:00,경기시간 : 3:15,삼성,현대,,,,,
8, ,중비, ,1파, ,중안, , ,좌비,4,1,2,0,0.302,진갑용,구장 : 수원,"관중 : 3,257",2001.09.01(토),개시 : 17:00,경기시간 : 3:15,삼성,현대,,,,,
9, , ,우2, ,삼진,삼진, , , ,3,1,0,1,0.253,김재걸,구장 : 수원,"관중 : 3,257",2001.09.01(토),개시 : 17:00,경기시간 : 3:15,삼성,현대,,,,,
10, , , , , , , , ,우홈,1,1,1,1,0.283,이승엽,구장 : 수원,"관중 : 3,257",2001.09.01(토),개시 : 17:00,경기시간 : 3:15,삼성,현대,,,,,
11, , , , , , , , , ,0,0,0,0,0.191,김태균,구장 : 수원,"관중 : 3,257",2001.09.01(토),개시 : 17:00,경기시간 : 3:15,삼성,현대,,,,,
12, , ,유안, ,2땅, ,2땅, ,사구,3,1,0,1,0.287,박한이,구장 : 수원,"관중 : 3,257",2001.09.01(토),개시 : 17:00,경기시간 : 3:15,삼성,현대,,,,,
0,중비,중비, ,1땅, ,1땅, ,좌파, ,5,0,0,0,0.324,전준호,구장 : 수원,"관중 : 3,257",2001.09.01(토),개시 : 17:00,경기시간 : 3:15,현대,삼성,,,,,
1,포파, ,4구, ,1번, ,좌안, ,삼진,4,1,0,0,0.254,박종호,구장 : 수원,"관중 : 3,257",2001.09.01(토),개시 : 17:00,경기시간 : 3:15,현대,삼성,,,,,
