,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11,12
5,2병, ,삼진, , ,우안, ,4구, ,4,1,0,0,0.375,크루즈,구장 : 잠실,"관중 : 18,629",2008.04.01(화),개시 : 19:01,경기시간 : 3:55,삼성,LG,유땅,,,
6, ,중비, ,좌비, ,좌비, ,투희번, ,3,0,0,1,0.250,박석민,구장 : 잠실,"관중 : 18,629",2008.04.01(화),개시 : 19:01,경기시간 : 3:55,삼성,LG,4구,,,
7, ,3비, ,삼진, ,좌비, , , ,3,0,0,0,0.000,허승민,구장 : 잠실,"관중 : 18,629",2008.04.01(화),개시 : 19:01,경기시간 : 3:55,삼성,LG, ,,,
8, , , , , , , ,4구, ,1,1,2,1,0.333,최형우,구장 : 잠실,"관중 : 18,629",2008.04.01(화),개시 : 19:01,경기시간 : 3:55,삼성,LG,우홈,,,
9, , , , , , , , , ,0,0,0,0,0.000,강봉규,구장 : 잠실,"관중 : 18,629",2008.04.01(화),개시 : 19:01,경기시간 : 3:55,삼성,LG, ,,,
10, ,3땅, ,중안, , ,3땅,4구, ,4,1,1,0,0.182,진갑용,구장 : 잠실,"관중 : 18,629",2008.04.01(화),개시 : 19:01,경기시간 : 3:55,삼성,LG,3직,,,
11, , ,삼진,삼진, , ,사구, , ,2,0,0,0,0.000,김재걸,구장 : 잠실,"관중 : 18,629",2008.04.01(화),개시 : 19:01,경기시간 : 3:55,삼성,LG, ,,,
12, , , , , , , ,유비, ,1,0,0,1,0.333,박진만,구장 : 잠실,"관중 : 18,629",2008.04.01(화),개시 : 19:01,경기시간 : 3:55,삼성,LG,4구,,,
0,3땅, ,3땅, ,좌비, , ,1땅, ,4,0,0,0,0.071,이대형,구장 : 잠실,"관중 : 18,629",2008.04.01(화),개시 : 19:01,경기시간 : 3:55,LG,삼성, ,,,
1,2땅, , ,2땅, ,삼진, , , ,3,0,0,0,0.250,이성열,구장 : 잠실,"관중 : 18,629",2008.04.01(화),개시 : 19:01,경기시간 : 3:55,LG,삼성, ,,,
2, , , , , , , ,삼진, ,1,0,0,0,0.333,김준호,구장 : 잠실,"관중 : 18,629",2008.04.01(화),개시 : 19:01,경기시간 : 3:55,LG,삼성, ,,,
3,좌비, , ,우중안, ,투땅, , ,우비,4,1,0,0,0.333,박용택,구장 : 잠실,"관중 : 18,629",2008.04.01(화),개시 : 19:01,경기시간 : 3:55,LG,삼성, ,,,
4, ,유땅, ,4구, ,1파, , ,우비,3,0,0,0,0.125,최동수,구장 : 잠실,"관중 : 18,629",2008.04.01(화),개시 : 19:01,경기시간 : 3:55,LG,삼성, ,,,
5, ,삼진, ,3비, , ,삼진, ,투땅,4,0,0,0,0.500,이종열,구장 : 잠실,"관중 : 18,629",2008.04.01(화),개시 : 19:01,경기시간 : 3:55,LG,삼성, ,,,
6, ,우비, ,우비, , ,좌홈, , ,4,1,1,1,0.182,조인성,구장 : 잠실,"관중 : 18,629",2008.04.01(화),개시 : 19:01,경기시간 : 3:55,LG,삼성,3땅,,,
7, , ,삼진, ,3땅, ,2땅, , ,4,0,0,0,0.091,김상현,구장 : 잠실,"관중 : 18,629",2008.04.01(화),개시 : 19:01,경기시간 : 3:55,LG,삼성,삼진,,,
8, , ,4구, ,좌홈, ,좌비, , ,3,1,1,1,0.286,박경수,구장 : 잠실,"관중 : 18,629",2008.04.01(화),개시 : 19:01,경기시간 : 3:55,LG,삼성,삼진,,,
9, , ,삼진, ,1파, , ,삼진, ,3,0,0,0,0.000,권용관,구장 : 잠실,"관중 : 18,629",2008.04.01(화),개시 : 19:01,경기시간 : 3:55,LG,삼성, ,,,
0,삼진, ,유땅, , ,우비, ,좌비, ,4,0,0,0,0.313,추승우,구장 : 목동,"관중 : 1,468",2008.04.02(수),개시 : 18:31,경기시간 : 2:37,한화,우리,,,,
1,2안, , ,삼진, ,우2, , ,4구,3,2,1,1,0.286,클락,구장 : 목동,"관중 : 1,468",2008.04.02(수),개시 : 18:31,경기시간 : 2:37,한화,우리,,,,
2,유땅, , ,유땅, ,4구, , ,4구,2,0,0,1,0.357,이범호,구장 : 목동,"관중 : 1,468",2008.04.02(수),개시 : 18:31,경기시간 : 2:37,한화,우리,,,,
3,좌비, , ,3땅, ,삼진, , ,중비,4,0,0,0,0.250,김태완,구장 : 목동,"관중 : 1,468",2008.04.02(수),개시 : 18:31,경기시간 : 2:37,한화,우리,,,,
4, ,2땅, , ,3땅, ,중안, , ,3,1,0,0,0.200,이도형,구장 : 목동,"관중 : 1,468",2008.04.02(수),개시 : 18:31,경기시간 : 2:37,한화,우리,,,,
5, , , , , , , , ,좌2,1,1,1,1,0.333,이영우,구장 : 목동,"관중 : 1,468",2008.04.02(수),개시 : 18:31,경기시간 : 2:37,한화,우리,,,,
6, ,투땅, , ,투땅, ,좌비, ,유땅,4,0,1,0,0.200,김민재,구장 : 목동,"관중 : 1,468",2008.04.02(수),개시 : 18:31,경기시간 : 2:37,한화,우리,,,,
7, ,2땅, , ,3땅, , , , ,2,0,0,0,0.167,고동진,구장 : 목동,"관중 : 1,468",2008.04.02(수),개시 : 18:31,경기시간 : 2:37,한화,우리,,,,
8, , , , , , ,유병, ,삼진,2,0,0,0,0.000,조원우,구장 : 목동,"관중 : 1,468",2008.04.02(수),개시 : 18:31,경기시간 : 2:37,한화,우리,,,,
9, , ,유땅, , ,좌중2, ,좌비, ,3,1,0,1,0.308,신경현,구장 : 목동,"관중 : 1,468",2008.04.02(수),개시 : 18:31,경기시간 : 2:37,한화,우리,,,,
10, , ,유땅, , ,좌비, ,2비, ,3,0,0,0,0.000,한상훈,구장 : 목동,"관중 : 1,468",2008.04.02(수),개시 : 18:31,경기시간 : 2:37,한화,우리,,,,
0,중2, ,좌중홈, ,4구,2땅, , , ,3,2,1,3,0.250,이택근,구장 : 목동,"관중 : 1,468",2008.04.02(수),개시 : 18:31,경기시간 : 2:37,우리,한화,,,,
1,삼진, ,2땅, ,4구, ,유땅, , ,3,0,0,1,0.182,이숭용,구장 : 목동,"관중 : 1,468",2008.04.02(수),개시 : 18:31,경기시간 : 2:37,우리,한화,,,,
2, , , , , , , , , ,0,0,0,0,1.000,조평호,구장 : 목동,"관중 : 1,468",2008.04.02(수),개시 : 18:31,경기시간 : 2:37,우리,한화,,,,
3,우파, ,삼진, ,좌안, ,투땅, , ,4,1,2,0,0.500,황재균,구장 : 목동,"관중 : 1,468",2008.04.02(수),개시 : 18:31,경기시간 : 2:37,우리,한화,,,,
4,고4, ,삼진, ,4구, ,중비, , ,2,0,0,0,0.556,브룸바,구장 : 목동,"관중 : 1,468",2008.04.02(수),개시 : 18:31,경기시간 : 2:37,우리,한화,,,,
5,좌안, , ,좌비,중희비, , ,유땅, ,3,1,2,0,0.182,송지만,구장 : 목동,"관중 : 1,468",2008.04.02(수),개시 : 18:31,경기시간 : 2:37,우리,한화,,,,
6, , , , , , , , , ,0,0,0,0,0.000,전동수,구장 : 목동,"관중 : 1,468",2008.04.02(수),개시 : 18:31,경기시간 : 2:37,우리,한화,,,,
7,투땅, , ,삼진,삼진, , ,삼진, ,4,0,0,0,0.375,강정호,구장 : 목동,"관중 : 1,468",2008.04.02(수),개시 : 18:31,경기시간 : 2:37,우리,한화,,,,
8, ,삼진, ,4구, ,투2안, ,좌비, ,3,1,0,0,0.333,정수성,구장 : 목동,"관중 : 1,468",2008.04.02(수),개시 : 18:31,경기시간 : 2:37,우리,한화,,,,
