,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,HP,SO,SB,CS,SH,GDP,E,컴프야P,ground
2019년 05월 17일,34,32,4,3,1,0,0,2,0,1,1,10,1,0,0,0,0,-78,대전
2019년 05월 18일,37,34,6,4,2,0,0,3,2,3,0,4,0,0,0,0,2,-19,잠실
2019년 05월 18일,44,37,14,11,0,0,3,13,13,6,1,4,0,0,0,1,2,394,고척
2019년 05월 18일,47,46,13,13,0,0,0,5,4,0,1,12,1,0,0,1,1,13,인천
2019년 05월 18일,29,28,4,2,2,0,0,2,2,0,0,3,0,1,1,0,0,2,수원
2019년 05월 18일,38,31,7,4,2,0,1,5,5,5,1,2,1,0,1,0,0,178,대전
2019년 05월 19일,,,,,,,,,,,,,,,,,,,잠실
2019년 05월 19일,39,36,13,11,1,0,1,9,8,3,0,7,0,0,0,1,0,224,고척
2019년 05월 19일,,,,,,,,,,,,,,,,,,,인천
2019년 05월 19일,,,,,,,,,,,,,,,,,,,수원
2019년 05월 19일,32,32,4,3,1,0,0,0,0,0,0,10,0,0,0,0,2,-115,대전
2019년 05월 21일,31,31,5,4,0,0,1,2,2,0,0,6,0,0,0,2,1,-19,잠실
2019년 05월 21일,32,30,4,3,1,0,0,1,1,2,0,4,1,0,0,1,2,-60,고척
2019년 05월 21일,45,37,12,8,4,0,0,12,10,7,1,5,1,0,0,0,1,253,수원
2019년 05월 21일,41,34,14,10,1,0,3,9,9,3,2,4,1,0,2,1,1,381,대구
2019년 05월 21일,44,35,16,10,5,1,0,10,9,5,1,4,2,0,3,2,1,377,광주
2019년 05월 22일,33,32,5,3,2,0,0,0,0,1,0,11,0,0,0,0,1,-98,잠실
2019년 05월 22일,34,30,7,5,2,0,0,4,2,3,0,6,0,2,1,1,1,12,고척
2019년 05월 22일,32,28,8,8,0,0,0,3,2,3,0,6,2,2,1,1,0,85,수원
2019년 05월 22일,50,43,13,10,2,1,0,6,6,4,0,12,1,2,3,0,2,138,대구
2019년 05월 22일,44,37,10,7,1,0,2,6,5,7,0,7,1,1,0,1,0,204,광주
2019년 05월 23일,38,32,8,6,2,0,0,2,1,5,1,16,1,1,0,1,0,-18,잠실
2019년 05월 23일,30,30,4,3,0,0,1,2,2,0,0,12,0,0,0,1,0,-57,고척
2019년 05월 23일,41,35,9,6,3,0,0,3,3,5,0,0,0,0,1,1,1,124,수원
2019년 05월 23일,39,31,12,9,2,0,1,2,2,6,0,3,1,1,2,2,0,190,대구
2019년 05월 23일,30,28,6,4,0,0,2,3,3,1,0,5,0,1,1,0,0,103,광주
2019년 05월 24일,45,36,10,8,2,0,0,3,3,6,2,5,1,0,1,0,2,87,잠실
2019년 05월 24일,39,37,11,8,1,1,1,5,5,2,0,10,2,1,0,0,0,139,대구
2019년 05월 24일,41,37,13,9,3,0,1,7,6,2,1,5,3,0,1,0,1,276,광주
2019년 05월 24일,44,35,10,8,1,0,1,8,6,7,1,4,3,0,1,0,1,212,사직
2019년 05월 24일,34,30,6,6,0,0,0,2,2,2,0,5,2,0,2,1,0,24,창원
2019년 05월 25일,40,31,8,7,0,0,1,7,7,9,0,1,2,0,0,1,0,223,잠실
2019년 05월 25일,39,33,13,9,3,0,1,10,10,3,1,4,1,1,2,2,1,307,대구
2019년 05월 25일,43,35,13,10,3,0,0,10,9,6,1,3,2,0,1,1,1,278,광주
2019년 05월 25일,44,35,11,10,1,0,0,5,5,7,0,9,4,1,2,0,1,174,사직
2019년 05월 25일,44,39,17,14,0,1,2,10,10,4,0,0,0,0,1,2,1,377,창원
2019년 05월 26일,32,25,2,1,1,0,0,2,2,5,0,4,0,0,2,0,0,18,잠실
2019년 05월 26일,36,33,7,4,2,0,1,4,4,3,0,10,0,0,0,0,0,79,대구
2019년 05월 26일,49,44,20,14,3,1,2,17,15,5,0,3,2,0,0,0,1,534,광주
2019년 05월 26일,35,33,7,5,1,1,0,2,2,2,0,4,0,0,0,1,0,20,사직
2019년 05월 26일,38,31,4,3,1,0,0,1,0,6,0,5,0,0,1,0,0,-19,창원
2019년 05월 28일,35,32,8,5,3,0,0,4,4,2,0,8,1,0,1,0,0,88,잠실
2019년 05월 28일,34,32,10,7,0,2,1,5,5,1,0,8,0,0,1,0,0,164,고척
2019년 05월 28일,28,27,5,4,1,0,0,1,1,1,0,6,0,0,0,2,2,-44,인천
2019년 05월 28일,34,28,9,8,1,0,0,2,2,4,0,5,0,1,2,1,1,67,대전
