,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,HP,SO,SB,CS,SH,GDP,E,컴프야P,ground
2016년 05월 01일,38,36,10,7,0,0,3,5,5,1,0,8,0,0,1,1,1,173,사직
2016년 05월 03일,,,,,,,,,,,,,,,,,,,잠실
2016년 05월 03일,41,28,5,2,2,0,1,7,7,10,1,6,2,0,2,1,0,216,인천
2016년 05월 03일,,,,,,,,,,,,,,,,,,,수원
2016년 05월 03일,43,36,11,9,1,0,1,5,4,5,0,10,0,1,2,0,0,168,대구
2016년 05월 03일,37,30,5,4,0,0,1,2,2,7,0,8,1,0,0,2,1,22,광주
2016년 05월 04일,53,48,21,13,4,0,4,17,16,4,1,5,0,0,0,0,1,576,잠실
2016년 05월 04일,39,32,7,5,1,0,1,1,1,6,1,6,0,1,0,1,0,42,인천
2016년 05월 04일,41,36,13,9,2,1,1,8,7,3,1,4,0,0,1,2,0,251,수원
2016년 05월 04일,37,36,10,8,0,1,1,6,6,0,0,5,1,1,1,1,0,153,대구
2016년 05월 04일,38,34,11,10,0,0,1,2,2,3,1,4,1,0,0,3,0,93,광주
2016년 05월 05일,50,45,19,17,2,0,0,7,7,3,1,4,0,1,1,3,1,230,잠실
2016년 05월 05일,42,39,13,10,0,0,3,6,6,3,0,7,1,0,0,1,4,195,인천
2016년 05월 05일,54,43,16,8,5,1,2,15,15,9,0,5,1,0,2,0,0,510,수원
2016년 05월 05일,33,30,4,2,1,0,1,2,2,3,0,5,0,0,0,0,1,-4,대구
2016년 05월 05일,32,29,3,2,1,0,0,1,0,1,2,6,0,1,0,1,0,-78,광주
2016년 05월 06일,45,37,12,6,4,1,1,7,6,7,0,9,0,0,1,1,0,245,잠실
2016년 05월 06일,39,35,13,4,5,2,2,6,5,2,0,5,0,0,2,1,0,283,고척
2016년 05월 06일,39,37,10,6,4,0,0,3,3,1,0,9,0,0,1,0,1,52,수원
2016년 05월 06일,35,32,10,6,2,1,1,4,4,1,0,6,0,1,2,1,1,123,대구
2016년 05월 06일,33,29,5,5,0,0,0,2,2,3,0,5,0,1,1,2,0,-27,마산
2016년 05월 07일,41,34,9,6,2,0,1,5,4,5,1,10,1,0,1,1,0,156,잠실
2016년 05월 07일,36,31,6,4,1,0,1,3,3,2,1,5,1,0,2,0,1,60,고척
2016년 05월 07일,44,37,12,8,2,0,2,10,9,7,0,6,3,0,0,2,1,295,수원
2016년 05월 07일,42,31,7,5,2,0,0,6,5,8,1,7,1,1,2,0,2,115,대구
2016년 05월 07일,37,31,6,6,0,0,0,1,1,4,2,8,0,1,0,0,1,-43,마산
2016년 05월 08일,55,44,21,15,4,0,2,17,16,7,3,6,3,1,1,2,2,555,잠실
2016년 05월 08일,41,37,11,8,3,0,0,6,5,1,2,9,0,0,1,0,1,111,고척
2016년 05월 08일,36,30,4,3,0,0,1,4,4,5,1,9,0,0,0,1,1,31,수원
2016년 05월 08일,51,43,15,14,0,0,1,7,6,5,1,8,1,1,2,1,3,161,대구
2016년 05월 08일,38,36,9,7,1,0,1,5,5,2,0,6,0,0,0,1,0,101,마산
2016년 05월 10일,49,41,17,14,2,0,1,9,9,6,1,3,3,0,1,0,0,369,잠실
2016년 05월 10일,42,37,13,4,4,0,5,11,10,4,0,6,1,0,1,2,2,442,인천
2016년 05월 10일,,,,,,,,,,,,,,,,,,,대전
2016년 05월 10일,,,,,,,,,,,,,,,,,,,광주
2016년 05월 10일,,,,,,,,,,,,,,,,,,,사직
2016년 05월 11일,39,37,11,7,3,1,0,2,2,1,0,6,0,0,1,0,1,57,잠실
2016년 05월 11일,41,35,12,7,2,0,3,7,7,5,0,6,1,1,1,2,0,306,인천
