,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2
4,중안, ,2땅, , ,중홈, , , ,3,2,1,1,0.335,양준혁,구장 : 문학,"관중 : 9,850",2007.10.02(화),개시 : 18:31,경기시간 : 3:20,삼성,SK
5, , , , , , , ,우비, ,1,0,0,0,0.252,김창희,구장 : 문학,"관중 : 9,850",2007.10.02(화),개시 : 18:31,경기시간 : 3:20,삼성,SK
6, ,투땅, ,좌중2, ,삼진, , ,우안,4,2,0,1,0.270,강봉규,구장 : 문학,"관중 : 9,850",2007.10.02(화),개시 : 18:31,경기시간 : 3:20,삼성,SK
7, ,좌안, ,투땅, ,삼진, , ,우안,4,2,0,0,0.190,김대익,구장 : 문학,"관중 : 9,850",2007.10.02(화),개시 : 18:31,경기시간 : 3:20,삼성,SK
8, ,3땅, ,유비, , ,2땅, ,2땅,4,0,0,0,0.168,조영훈,구장 : 문학,"관중 : 9,850",2007.10.02(화),개시 : 18:31,경기시간 : 3:20,삼성,SK
9, ,2땅, ,중비, , ,투땅, ,유땅,4,0,1,0,0.224,박정환,구장 : 문학,"관중 : 9,850",2007.10.02(화),개시 : 18:31,경기시간 : 3:20,삼성,SK
10, , ,유땅, ,삼진, ,좌안, ,삼진,4,1,0,0,0.164,이정식,구장 : 문학,"관중 : 9,850",2007.10.02(화),개시 : 18:31,경기시간 : 3:20,삼성,SK
11, , ,삼진, , , , , , ,1,0,0,0,0.236,김재걸,구장 : 문학,"관중 : 9,850",2007.10.02(화),개시 : 18:31,경기시간 : 3:20,삼성,SK
12, , , , ,삼진, ,삼진, , ,2,0,0,0,0.125,강명구,구장 : 문학,"관중 : 9,850",2007.10.02(화),개시 : 18:31,경기시간 : 3:20,삼성,SK
0,3안,유땅, ,삼진, ,2땅,삼진, , ,5,1,0,0,0.326,정근우,구장 : 문학,"관중 : 9,850",2007.10.02(화),개시 : 18:31,경기시간 : 3:20,SK,삼성
1,2직, ,2비,좌안, , , , , ,3,1,1,0,0.245,김강민,구장 : 문학,"관중 : 9,850",2007.10.02(화),개시 : 18:31,경기시간 : 3:20,SK,삼성
2, , , , , , , , , ,0,0,0,0,0.143,김재구,구장 : 문학,"관중 : 9,850",2007.10.02(화),개시 : 18:31,경기시간 : 3:20,SK,삼성
3, , , , , ,사구, , , ,0,0,0,0,0.340,이재원,구장 : 문학,"관중 : 9,850",2007.10.02(화),개시 : 18:31,경기시간 : 3:20,SK,삼성
4, , , , , , ,우안, , ,1,1,0,1,0.271,조동화,구장 : 문학,"관중 : 9,850",2007.10.02(화),개시 : 18:31,경기시간 : 3:20,SK,삼성
5,투땅, ,좌안,유땅, ,좌안,중안, , ,5,3,1,1,0.349,이진영,구장 : 문학,"관중 : 9,850",2007.10.02(화),개시 : 18:31,경기시간 : 3:20,SK,삼성
6,4구, ,우안, ,2땅,우중2,중비, , ,4,2,1,0,0.313,이호준,구장 : 문학,"관중 : 9,850",2007.10.02(화),개시 : 18:31,경기시간 : 3:20,SK,삼성
7, , , , , , , , , ,0,0,0,0,0.222,박정권,구장 : 문학,"관중 : 9,850",2007.10.02(화),개시 : 18:31,경기시간 : 3:20,SK,삼성
8,4구, ,삼진, ,좌안,4구,유땅, , ,3,1,0,0,0.247,박경완,구장 : 문학,"관중 : 9,850",2007.10.02(화),개시 : 18:31,경기시간 : 3:20,SK,삼성
9,유비, ,4구, ,우2,좌희비, ,사구, ,2,1,1,0,0.277,박재홍,구장 : 문학,"관중 : 9,850",2007.10.02(화),개시 : 18:31,경기시간 : 3:20,SK,삼성
10, ,좌안,3직, ,사구, , , , ,2,1,0,0,0.223,정경배,구장 : 문학,"관중 : 9,850",2007.10.02(화),개시 : 18:31,경기시간 : 3:20,SK,삼성
11, , , , , ,4구, ,2직, ,1,0,0,0,0.242,나주환,구장 : 문학,"관중 : 9,850",2007.10.02(화),개시 : 18:31,경기시간 : 3:20,SK,삼성
12, ,중비, ,삼진,중비,유땅, , , ,4,0,0,0,0.269,최정,구장 : 문학,"관중 : 9,850",2007.10.02(화),개시 : 18:31,경기시간 : 3:20,SK,삼성
13, , , , , , , ,좌비, ,1,0,0,0,0.150,김태균,구장 : 문학,"관중 : 9,850",2007.10.02(화),개시 : 18:31,경기시간 : 3:20,SK,삼성
14, ,2땅, ,중안, ,좌2,좌홈, , ,4,3,1,3,0.271,박재상,구장 : 문학,"관중 : 9,850",2007.10.02(화),개시 : 18:31,경기시간 : 3:20,SK,삼성
0,2땅, ,2직, ,4구, , , , ,2,0,0,0,0.255,고동진,구장 : 시민,"관중 : 4,301",2007.10.03(수),개시 : 14:01,경기시간 : 2:55,한화,삼성
1, , , , , , ,우안, , ,1,1,0,0,0.190,김수연,구장 : 시민,"관중 : 4,301",2007.10.03(수),개시 : 14:01,경기시간 : 2:55,한화,삼성
2,우2, , , , , , , , ,1,1,0,0,0.254,연경흠,구장 : 시민,"관중 : 4,301",2007.10.03(수),개시 : 14:01,경기시간 : 2:55,한화,삼성
3, , ,중안, ,중안, ,2땅, , ,3,2,0,0,0.263,조원우,구장 : 시민,"관중 : 4,301",2007.10.03(수),개시 : 14:01,경기시간 : 2:55,한화,삼성
4,우안, ,2유병, ,좌비, , ,1땅, ,4,1,0,0,0.319,크루즈,구장 : 시민,"관중 : 4,301",2007.10.03(수),개시 : 14:01,경기시간 : 2:55,한화,삼성
5, , , , , , , , , ,0,0,0,0,0.198,김인철,구장 : 시민,"관중 : 4,301",2007.10.03(수),개시 : 14:01,경기시간 : 2:55,한화,삼성
6,4구, , ,중2, ,4구, ,삼진, ,2,1,0,0,0.249,이범호,구장 : 시민,"관중 : 4,301",2007.10.03(수),개시 : 14:01,경기시간 : 2:55,한화,삼성
7,우비, , ,삼진, ,1유병, ,1땅, ,4,0,0,0,0.240,이영우,구장 : 시민,"관중 : 4,301",2007.10.03(수),개시 : 14:01,경기시간 : 2:55,한화,삼성
8, ,좌홈, ,삼진, ,중홈, , ,3파,4,2,2,2,0.200,김태완,구장 : 시민,"관중 : 4,301",2007.10.03(수),개시 : 14:01,경기시간 : 2:55,한화,삼성
