,0,1,2,3,4,5,6,7,8,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,9,10,11,12
4, ,좌비, ,삼진, ,2땅, , ,삼진,4,0,0,0,0.238,최동수,구장 : 무등,"관중 : 1,375",2002.10.12(토),개시 : 16:59,경기시간 : 2:18,LG,KIA,,,,
5, ,유비, , ,중비, ,좌안, ,우비,4,1,0,0,0.286,이병규,구장 : 무등,"관중 : 1,375",2002.10.12(토),개시 : 16:59,경기시간 : 2:18,LG,KIA,,,,
6, ,3땅, , ,4구, ,삼진, , ,2,0,0,0,0.264,조인성,구장 : 무등,"관중 : 1,375",2002.10.12(토),개시 : 16:59,경기시간 : 2:18,LG,KIA,,,,
7, , ,삼진, ,중비, ,좌파, , ,3,0,0,0,0.252,최만호,구장 : 무등,"관중 : 1,375",2002.10.12(토),개시 : 16:59,경기시간 : 2:18,LG,KIA,,,,
8, , ,3파, ,우비, ,3땅, , ,3,0,0,0,0.217,권용관,구장 : 무등,"관중 : 1,375",2002.10.12(토),개시 : 16:59,경기시간 : 2:18,LG,KIA,,,,
0,유비, , ,중비, ,삼진, , ,1희번,3,0,0,0,0.298,이종범,구장 : 무등,"관중 : 1,375",2002.10.12(토),개시 : 16:59,경기시간 : 2:18,KIA,LG,,,,
1,삼진, , ,4구, ,2땅, , ,중안,3,1,0,1,0.286,김종국,구장 : 무등,"관중 : 1,375",2002.10.12(토),개시 : 16:59,경기시간 : 2:18,KIA,LG,,,,
2,유땅, , ,1땅, , ,유땅, , ,3,0,0,0,0.340,장성호,구장 : 무등,"관중 : 1,375",2002.10.12(토),개시 : 16:59,경기시간 : 2:18,KIA,LG,,,,
3, ,삼진, ,중안, , ,삼진, , ,3,1,1,0,0.251,홍세완,구장 : 무등,"관중 : 1,375",2002.10.12(토),개시 : 16:59,경기시간 : 2:18,KIA,LG,,,,
4, ,삼진, ,우비, , ,유직, , ,3,0,0,0,0.268,펨버튼,구장 : 무등,"관중 : 1,375",2002.10.12(토),개시 : 16:59,경기시간 : 2:18,KIA,LG,,,,
5, ,삼진, , ,삼진, , ,중비, ,3,0,0,0,0.303,신동주,구장 : 무등,"관중 : 1,375",2002.10.12(토),개시 : 16:59,경기시간 : 2:18,KIA,LG,,,,
6, , ,투땅, ,3땅, , ,삼진, ,3,0,0,0,0.154,김인철,구장 : 무등,"관중 : 1,375",2002.10.12(토),개시 : 16:59,경기시간 : 2:18,KIA,LG,,,,
7, , ,우비, ,삼진, , ,우비, ,3,0,0,0,0.226,김상훈,구장 : 무등,"관중 : 1,375",2002.10.12(토),개시 : 16:59,경기시간 : 2:18,KIA,LG,,,,
8, , ,3땅, , ,좌안, , ,좌안,3,2,0,1,0.299,정성훈,구장 : 무등,"관중 : 1,375",2002.10.12(토),개시 : 16:59,경기시간 : 2:18,KIA,LG,,,,
0,삼진, ,2땅, ,우안, , ,좌안,우비,5,2,0,1,0.293,최익성,구장 : 시민,"관중 : 2,398",2002.10.12(토),개시 : 17:00,경기시간 : 3:15,현대,삼성,,,,
1,4구, ,중안, ,유2병, , ,4구, ,2,1,0,0,0.270,폴,구장 : 시민,"관중 : 2,398",2002.10.12(토),개시 : 17:00,경기시간 : 3:15,현대,삼성,,,,
2,삼진, ,우안, , ,삼진, , , ,3,1,0,0,0.284,박재홍,구장 : 시민,"관중 : 2,398",2002.10.12(토),개시 : 17:00,경기시간 : 3:15,현대,삼성,,,,
3, , , , , , , , , ,0,0,0,0,0.250,정수성,구장 : 시민,"관중 : 2,398",2002.10.12(토),개시 : 17:00,경기시간 : 3:15,현대,삼성,,,,
4, , , , , , , ,유2병, ,1,0,0,0,0.220,박진만,구장 : 시민,"관중 : 2,398",2002.10.12(토),개시 : 17:00,경기시간 : 3:15,현대,삼성,,,,
5, , , , , , , , , ,0,0,0,0,0.300,전준호,구장 : 시민,"관중 : 2,398",2002.10.12(토),개시 : 17:00,경기시간 : 3:15,현대,삼성,,,,
6,좌비, ,2직, , ,3안, ,좌안, ,4,2,1,0,0.320,심정수,구장 : 시민,"관중 : 2,398",2002.10.12(토),개시 : 17:00,경기시간 : 3:15,현대,삼성,,,,
7, , , , , , , , , ,0,0,0,0,0.000,전준호,구장 : 시민,"관중 : 2,398",2002.10.12(토),개시 : 17:00,경기시간 : 3:15,현대,삼성,,,,
8, ,삼진, ,우2, ,삼진, ,좌2, ,4,2,0,0,0.296,프랭클린,구장 : 시민,"관중 : 2,398",2002.10.12(토),개시 : 17:00,경기시간 : 3:15,현대,삼성,,,,
9, ,우안, ,삼진, ,2비, , , ,3,1,0,1,0.265,강귀태,구장 : 시민,"관중 : 2,398",2002.10.12(토),개시 : 17:00,경기시간 : 3:15,현대,삼성,,,,
10, , , , , , , , , ,0,0,0,0,0.205,박경완,구장 : 시민,"관중 : 2,398",2002.10.12(토),개시 : 17:00,경기시간 : 3:15,현대,삼성,,,,
11, , , , , , , ,유비, ,1,0,0,0,0.267,황윤성,구장 : 시민,"관중 : 2,398",2002.10.12(토),개시 : 17:00,경기시간 : 3:15,현대,삼성,,,,
12, , , , , , , , , ,0,0,0,0,0.000,김필중,구장 : 시민,"관중 : 2,398",2002.10.12(토),개시 : 17:00,경기시간 : 3:15,현대,삼성,,,,
