,0,1,2,3,4,5,6,타수,안타,타점,득점,타율,name,구장,관중,날짜,개시시간,경기시간,team1,team2,7,8,9
0,중안, , ,중안, ,4구,투번,4,2,0,1,0.278,정수성,구장 : 사직,"관중 : 1,527",2005.09.02(금),개시 : 18:30,경기시간 : 3:06,현대,롯데, ,삼진,
1,一유병, , ,一희번, ,二안, ,3,1,0,0,0.274,전준호,구장 : 사직,"관중 : 1,527",2005.09.02(금),개시 : 18:30,경기시간 : 3:06,현대,롯데,좌비, ,
2,三땅, , ,삼진, ,투희번, ,3,0,0,0,0.271,송지만,구장 : 사직,"관중 : 1,527",2005.09.02(금),개시 : 18:30,경기시간 : 3:06,현대,롯데,우비, ,
3, ,좌비, ,4구, ,고4, ,2,0,0,0,0.285,서튼,구장 : 사직,"관중 : 1,527",2005.09.02(금),개시 : 18:30,경기시간 : 3:06,현대,롯데,삼진, ,
4, ,삼진, ,삼진, ,중비, ,4,1,0,1,0.262,정성훈,구장 : 사직,"관중 : 1,527",2005.09.02(금),개시 : 18:30,경기시간 : 3:06,현대,롯데, ,우2,
5, ,二땅, , ,좌2,유실, ,4,2,1,0,0.252,강병식,구장 : 사직,"관중 : 1,527",2005.09.02(금),개시 : 18:30,경기시간 : 3:06,현대,롯데, ,우2,
6, , , , , , , ,0,0,0,0,0.228,김일경,구장 : 사직,"관중 : 1,527",2005.09.02(금),개시 : 18:30,경기시간 : 3:06,현대,롯데, , ,
7, , ,三땅, ,포번,三땅, ,3,0,0,0,0.176,지석훈,구장 : 사직,"관중 : 1,527",2005.09.02(금),개시 : 18:30,경기시간 : 3:06,현대,롯데, , ,
8, , , , , , , ,1,0,0,0,0.190,전근표,구장 : 사직,"관중 : 1,527",2005.09.02(금),개시 : 18:30,경기시간 : 3:06,현대,롯데, ,삼진,
9, , ,三직, ,二직, ,삼진,3,0,0,0,0.217,김동수,구장 : 사직,"관중 : 1,527",2005.09.02(금),개시 : 18:30,경기시간 : 3:06,현대,롯데, , ,
10, , , , , , , ,1,0,0,0,0.275,강귀태,구장 : 사직,"관중 : 1,527",2005.09.02(금),개시 : 18:30,경기시간 : 3:06,현대,롯데, ,二비,
11, , ,좌비, ,투땅, ,포파,3,0,0,0,0.167,김승권,구장 : 사직,"관중 : 1,527",2005.09.02(금),개시 : 18:30,경기시간 : 3:06,현대,롯데, , ,
12, , , , , , , ,0,0,0,0,0.328,이택근,구장 : 사직,"관중 : 1,527",2005.09.02(금),개시 : 18:30,경기시간 : 3:06,현대,롯데, ,4구,
0,三땅, ,유땅, ,중안, , ,3,1,1,1,0.257,신명철,구장 : 사직,"관중 : 1,527",2005.09.02(금),개시 : 18:30,경기시간 : 3:06,롯데,현대, , ,
1, , , , , ,중비, ,1,0,0,0,0.170,박남섭,구장 : 사직,"관중 : 1,527",2005.09.02(금),개시 : 18:30,경기시간 : 3:06,롯데,현대, , ,
2,三땅, ,중비, ,三희번, , ,2,0,0,0,0.287,정수근,구장 : 사직,"관중 : 1,527",2005.09.02(금),개시 : 18:30,경기시간 : 3:06,롯데,현대, , ,
3, , , , , , ,삼진,1,0,0,0,0.240,최준석,구장 : 사직,"관중 : 1,527",2005.09.02(금),개시 : 18:30,경기시간 : 3:06,롯데,현대, , ,
4, , , , , , , ,0,0,0,0,0.180,박정준,구장 : 사직,"관중 : 1,527",2005.09.02(금),개시 : 18:30,경기시간 : 3:06,롯데,현대, , ,
5,二안, ,三파, ,一안, ,二땅,4,2,1,0,0.268,라이온,구장 : 사직,"관중 : 1,527",2005.09.02(금),개시 : 18:30,경기시간 : 3:06,롯데,현대, , ,
6,우중안, , ,좌안,우희비, ,투땅,3,2,1,0,0.278,이대호,구장 : 사직,"관중 : 1,527",2005.09.02(금),개시 : 18:30,경기시간 : 3:06,롯데,현대, , ,
7,삼진, , ,삼진,우비, , ,4,0,0,0,0.278,펠로우,구장 : 사직,"관중 : 1,527",2005.09.02(금),개시 : 18:30,경기시간 : 3:06,롯데,현대,좌비, ,
8, ,중안, ,우비, , , ,2,1,0,0,0.280,박연수,구장 : 사직,"관중 : 1,527",2005.09.02(금),개시 : 18:30,경기시간 : 3:06,롯데,현대, , ,
9, , , , , ,二땅, ,2,0,0,0,0.244,손인호,구장 : 사직,"관중 : 1,527",2005.09.02(금),개시 : 18:30,경기시간 : 3:06,롯데,현대,투땅, ,
10, ,三희번, ,二땅, ,좌중안, ,3,1,0,1,0.219,이원석,구장 : 사직,"관중 : 1,527",2005.09.02(금),개시 : 18:30,경기시간 : 3:06,롯데,현대,삼진, ,
11, ,투땅, , ,우2,투번, ,3,1,0,1,0.202,최기문,구장 : 사직,"관중 : 1,527",2005.09.02(금),개시 : 18:30,경기시간 : 3:06,롯데,현대, , ,
12, , , , , , , ,0,0,0,0,0.241,강민호,구장 : 사직,"관중 : 1,527",2005.09.02(금),개시 : 18:30,경기시간 : 3:06,롯데,현대, , ,
